Iteration,q_l_0,q_l_1,q_l_2,q_l_3,q_l_4,q_l_5,q_l_6,translation_goal_l_0,translation_goal_l_1,translation_goal_l_2,translation_l_0,translation_l_1,translation_l_2,ecart_q_l_0,ecart_q_l_1,ecart_q_l_2,ecart_q_l_3,ecart_q_l_4,ecart_q_l_5,ecart_q_l_6,Ecart_pos_l,Ecart_rot_l
0,-0.11830054968595505,0.8891770243644714,0.3297393918037415,-0.7641962170600891,-0.2493727803230286,-0.5427863001823425,0.5011201500892639,0.4,0.5,-0.3,0.4000000909396212,0.49999974032945416,-0.2999999418747554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8120695427393266e-07,7.246521704473707e-05
1,-0.11830054968595505,0.8891770243644714,0.3297393918037415,-0.7641962170600891,-0.2493727803230286,-0.5427863001823425,0.5011201500892639,0.4,0.4902,-0.3,0.4000000821190214,0.49019974559885904,-0.29999993976691275,0.026700899004936218,0.017740309238433838,0.008374899625778143,0.05192601680755626,0.021062731742858887,0.029038071632385254,0.008955955505371094,2.7402828139265137e-07,7.196050813718102e-05
2,-0.09159965068101883,0.8714367151260376,0.33811429142951965,-0.8161222338676454,-0.2283100485801697,-0.5137482285499573,0.510076105594635,0.4,0.4804,-0.3,0.40000007719775055,0.4803997402919428,-0.29999993976048595,0.022813715040683746,0.0170290470123291,0.004613518714904785,0.04789370298385609,0.02033732831478119,0.027506709098815918,0.007209658622741699,2.7755461930561094e-07,7.222339695545088e-05
3,-0.06878593564033508,0.8544076681137085,0.34272781014442444,-0.8640159368515015,-0.20797272026538852,-0.48624151945114136,0.5172857642173767,0.4,0.4706,-0.3,0.40000007307286306,0.47059974126472837,-0.2999999312644812,0.019612319767475128,0.016350150108337402,0.001474142074584961,0.04445624351501465,0.019802540540695218,0.026222437620162964,0.0057048797607421875,2.775034335841635e-07,7.236455684278553e-05
4,-0.049173615872859955,0.8380575180053711,0.3442019522190094,-0.9084721803665161,-0.1881701797246933,-0.4600190818309784,0.5229906439781189,0.4,0.4608,-0.3,0.40000006858387177,0.46079974832192766,-0.29999992348176213,0.016915854066610336,0.015703916549682506,0.0012036561965941828,0.041459381580352894,0.019411057233810397,0.02511921525001526,0.004380345344543457,2.718467220311466e-07,7.089920597991295e-05
5,-0.03225776180624962,0.8223536014556886,0.3429982960224152,-0.949931561946869,-0.1687591224908829,-0.43489986658096313,0.5273709893226624,0.4,0.451,-0.3,0.4000000620824577,0.4509997474724554,-0.2999999259458435,0.014600619673728943,0.015089750289917103,0.0035293996334076483,0.03879833221435536,0.01913061738014224,0.024152100086212158,0.003194749355316162,2.703856697800158e-07,7.15541779072737e-05
6,-0.017657142132520676,0.8072638511657715,0.33946889638900757,-0.9887298941612244,-0.14962850511074066,-0.410747766494751,0.5305657386779785,0.4,0.4412,-0.3,0.40000005822011225,0.44119976027962843,-0.29999991155736117,0.012578908819705248,0.014506638050079346,0.0055805146694182794,0.03639894723892212,0.01893840730190277,0.023289144039154053,0.0021188855171203613,2.6206399670291447e-07,6.957076595881517e-05
7,-0.005078233312815429,0.7927572131156921,0.3338883817195893,-1.0251288414001465,-0.1306900978088379,-0.3874586224555969,0.5326846241950989,0.4,0.4314,-0.3,0.4000000543890499,0.43139977230255766,-0.2999999019033005,0.010786742437630892,0.013953804969787487,0.007413208484649658,0.03420710563659668,0.01881759613752365,0.022507011890411377,0.001132190227508545,2.5382524785160487e-07,6.881224913968254e-05
8,0.005708509124815464,0.7788034081459047,0.32647517323493963,-1.0593359470367432,-0.11187250167131424,-0.36495161056518555,0.5338168144226074,0.4,0.4216,-0.3,0.40000004798438893,0.4215997740163534,-0.2999999107540869,0.009176338091492655,0.013430535793304443,0.009069114923477228,0.03218221664428711,0.018755450844764696,0.02178800106048584,0.00021916627883911133,2.4766094383889393e-07,6.847243349739074e-05
9,0.014884847216308119,0.7653728723526002,0.3174060583114624,-1.0915181636810303,-0.09311705082654954,-0.3431636095046997,0.5340359807014465,0.4,0.4118,-0.3,0.4000000409019211,0.41179977692260744,-0.29999991203384513,0.007711331360042097,0.01293635368347179,0.010579496622085571,0.03029322624206543,0.018742002546787276,0.02111849188804621,0.0006315112113952637,2.432581645472264e-07,6.817370535827649e-05
