Iteration,q_l_0,q_l_1,q_l_2,q_l_3,q_l_4,q_l_5,q_l_6,translation_goal_l_0,translation_goal_l_1,translation_goal_l_2,translation_l_0,translation_l_1,translation_l_2,ecart_q_l_0,ecart_q_l_1,ecart_q_l_2,ecart_q_l_3,ecart_q_l_4,ecart_q_l_5,ecart_q_l_6,Ecart_pos_l,Ecart_rot_l,Iteration,q_r_0,q_r_1,q_r_2,q_r_3,q_r_4,q_r_5,q_r_6,translation_goal_r_0,translation_goal_r_1,translation_goal_r_2,translation_r_0,translation_r_1,translation_r_2,ecart_q_r_0,ecart_q_r_1,ecart_q_r_2,ecart_q_r_3,ecart_q_r_4,ecart_q_r_5,ecart_q_r_6,Ecart_pos_r,Ecart_rot_r
12,0.0340710468590259,0.727931022644043,0.2816039621829986,-1.1771577596664429,-0.0367752909660339,-0.2816701531410217,0.5297982692718506,0.4,0.3824,-0.3,0.4000000355924661,0.3823997691950904,-0.2999998817793755,0.0039368532598018,0.0116272568702697,0.0144510269165039,0.0252219438552856,0.0189203433692455,0.0193096995353698,0.0028847455978393,2.617514966322111e-07,7.15949147434003e-05,12,0.0340710468590259,-0.727931022644043,-0.2816039621829986,-1.1771577596664429,0.0367752909660339,-0.2816701531410217,-0.5297982692718506,0.4,-0.3824,-0.3,0.4000000584600878,-0.3823999576761341,-0.2999997020475275,0.0039368532598018,0.0116272568702697,0.0144510269165039,0.0252219438552856,0.0189203433692455,0.0193096995353698,0.0028847455978393,3.065690254195387e-07,5.724741703261316e-05
13,0.0380079001188278,0.7163037657737732,0.2671529352664947,-1.2023797035217283,-0.0178549475967884,-0.2623604536056518,0.5269135236740112,0.4,0.3726,-0.3,0.4000000284576591,0.3725997879149947,-0.2999998900108997,0.0028267167508602,0.0112496018409729,0.0155699551105499,0.0236773490905761,0.0190338212996721,0.0187496244907378,0.0035527348518371,2.405981919696368e-07,6.931884922778409e-05,13,0.0380079001188278,-0.7163037657737732,-0.2671529352664947,-1.2023797035217283,0.0178549475967884,-0.2623604536056518,-0.5269135236740112,0.4,-0.3726,-0.3,0.4000000505720605,-0.3725999729647825,-0.2999997188788519,0.0028267167508602,0.0112496018409729,0.0155699551105499,0.0236773490905761,0.0190338212996721,0.0187496244907378,0.0035527348518371,2.8691032778402305e-07,5.569850708297963e-05
14,0.040834616869688,0.7050541639328003,0.2515829801559448,-1.226057052612305,0.0011788737028837,-0.2436108291149139,0.5233607888221741,0.4,0.3628,-0.3,0.4000000275739396,0.362799794030123,-0.2999998825566776,0.0017699189484119,0.0109022259712219,0.0166195333003997,0.0221863985061645,0.0191666912287473,0.0182021111249924,0.0041843652725219,2.386982328095784e-07,6.750753180995162e-05,14,0.040834616869688,-0.7050541639328003,-0.2515829801559448,-1.226057052612305,-0.0011788737028837,-0.2436108291149139,-0.5233607888221741,0.4,-0.3628,-0.3,0.4000000488561523,-0.362799976255493,-0.2999997201843589,0.0017699189484119,0.0109022259712219,0.0166195333003997,0.0221863985061645,0.0191666912287473,0.0182021111249924,0.0041843652725219,2.850395029490044e-07,5.775448994427279e-05
15,0.0426045358180999,0.6941519379615784,0.234963446855545,-1.2482434511184692,0.020345564931631,-0.2254087179899215,0.5191764235496521,0.4,0.353,-0.3,0.4000000313620886,0.3529997954854121,-0.2999998483872044,0.0007578320801258,0.0105859637260437,0.0176061391830444,0.0207403898239137,0.0193150900304317,0.0176632404327392,0.0047812461853027,2.565077719033889e-07,6.952884319844088e-05,15,0.0426045358180999,-0.6941519379615784,-0.234963446855545,-1.2482434511184692,-0.020345564931631,-0.2254087179899215,-0.5191764235496521,0.4,-0.353,-0.3,0.400000051763475,-0.3529999754671983,-0.2999996949260715,0.0007578320801258,0.0105859637260437,0.0176061391830444,0.0207403898239137,0.0193150900304317,0.0176632404327392,0.0047812461853027,3.104052472474765e-07,5.9885998666686646e-05
16,0.0433623678982257,0.6835659742355347,0.2173573076725006,-1.268983840942383,0.0396606549620628,-0.2077454775571823,0.5143951773643494,0.4,0.3432,-0.3,0.4000000245029934,0.343199779066851,-0.2999998538543075,0.0002163387835025,0.0103018283843994,0.0185347199440002,0.0193319320678708,0.0194754600524902,0.0171296596527099,0.0053446888923645,2.660270971725024e-07,7.240483773784945e-05,16,0.0433623678982257,-0.6835659742355347,-0.2173573076725006,-1.268983840942383,-0.0396606549620628,-0.2077454775571823,-0.5143951773643494,0.4,-0.3432,-0.3,0.4000000440035537,-0.3431999573622725,-0.2999997094475444,0.0002163387835025,0.0103018283843994,0.0185347199440002,0.0193319320678708,0.0194754600524902,0.0171296596527099,0.0053446888923645,2.969427856681977e-07,5.658142885067719e-05
17,0.0431460291147232,0.6732641458511353,0.1988225877285004,-1.288315773010254,0.059136115014553,-0.1906158179044723,0.5090504884719849,0.4,0.3334,-0.3,0.4000000218768224,0.3333997947458985,-0.299999857515634,0.001157846301794,0.0100505948066711,0.0194087773561477,0.0179550647735595,0.0196444913744926,0.0165986567735672,0.005875289440155,2.50817934137497e-07,6.933987725687984e-05,17,0.0431460291147232,-0.6732641458511353,-0.1988225877285004,-1.288315773010254,-0.059136115014553,-0.1906158179044723,-0.5090504884719849,0.4,-0.3334,-0.3,0.4000000404837608,-0.3333999718901745,-0.2999997222980402,0.001157846301794,0.0100505948066711,0.0194087773561477,0.0179550647735595,0.0196444913744926,0.0165986567735672,0.005875289440155,2.820416204550975e-07,5.734919028554941e-05
18,0.0419881828129291,0.6632135510444641,0.1794138103723526,-1.3062708377838137,0.0787806063890457,-0.1740171611309051,0.5031751990318298,0.4,0.3236,-0.3,0.4000000181923162,0.3235997896944169,-0.2999998503814142,0.0020706355571746,0.0098335742950439,0.0202308297157287,0.0166047811508178,0.0198190212249755,0.0160679817199707,0.0063730180263519,2.587375501508676e-07,7.089920597991295e-05,18,0.0419881828129291,-0.6632135510444641,-0.1794138103723526,-1.3062708377838137,-0.0787806063890457,-0.1740171611309051,-0.5031751990318298,0.4,-0.3236,-0.3,0.4000000359388541,-0.3235999662019621,-0.2999997244792144,0.0020706355571746,0.0098335742950439,0.0202308297157287,0.0166047811508178,0.0198190212249755,0.0160679817199707,0.0063730180263519,2.799028614578972e-07,5.621955216383867e-05
19,0.0399175472557544,0.6533799767494202,0.1591829806566238,-1.3228756189346311,0.0985996276140213,-0.1579491794109344,0.4968021810054779,0.4,0.3137999999999999,-0.3,0.4000000177142755,0.3137997903764258,-0.2999998338750615,0.0029575899243354,0.0096516609191894,0.0210024863481521,0.015276551246643,0.0199960693717003,0.0155357867479324,0.0068378150463103,2.680547212066923e-07,7.220320867418195e-05,19,0.0399175472557544,-0.6533799767494202,-0.1591829806566238,-1.3228756189346311,-0.0985996276140213,-0.1579491794109344,-0.4968021810054779,0.4,-0.3137999999999999,-0.3,0.4000000346585863,-0.3137999667416748,-0.2999997174053193,0.0029575899243354,0.0096516609191894,0.0210024863481521,0.015276551246643,0.0199960693717003,0.0155357867479324,0.0068378150463103,2.866480199846506e-07,5.671011098229428e-05
20,0.036959957331419,0.6437283158302307,0.1381804943084716,-1.3381521701812744,0.1185956969857216,-0.142413392663002,0.4899643659591675,0.4,0.304,-0.3,0.4000000146714618,0.303999800693828,-0.2999998389889042,0.0038206316530704,0.0095059871673583,0.0217246189713478,0.013966679573059,0.0201727375388145,0.015000656247139,0.0072691440582275,2.566374386579456e-07,7.040397844093604e-05,20,0.036959957331419,-0.6437283158302307,-0.1381804943084716,-1.3381521701812744,-0.1185956969857216,-0.142413392663002,-0.4899643659591675,0.4,-0.304,-0.3,0.4000000308956702,-0.3039999773916617,-0.2999997320588747,0.0038206316530704,0.0095059871673583,0.0217246189713478,0.013966679573059,0.0201727375388145,0.015000656247139,0.0072691440582275,2.706623838312188e-07,5.590750788542209e-05
21,0.0331393256783485,0.6342223286628723,0.1164558753371238,-1.3521188497543335,0.1387684345245361,-0.127412736415863,0.4826952219009399,0.4,0.2942,-0.3,0.4000000140475457,0.2941998093571975,-0.299999832429148,0.0046609062701463,0.0093975067138671,0.0223975032567977,0.0126721858978271,0.0203462839126586,0.0144614949822425,0.0076662003993988,2.542085799323148e-07,6.952884319844088e-05,21,0.0331393256783485,-0.6342223286628723,-0.1164558753371238,-1.3521188497543335,-0.1387684345245361,-0.127412736415863,-0.4826952219009399,0.4,-0.2942,-0.3,0.4000000296567065,-0.2941999868429781,-0.2999997351355089,0.0046609062701463,0.0093975067138671,0.0223975032567977,0.0126721858978271,0.0203462839126586,0.0144614949822425,0.0076662003993988,2.668441981638058e-07,5.691539706731419e-05
