Iteration,q_r_0,q_r_1,q_r_2,q_r_3,q_r_4,q_r_5,q_r_6,translation_goal_r_0,translation_goal_r_1,translation_goal_r_2,translation_r_0,translation_r_1,translation_r_2,ecart_q_r_0,ecart_q_r_1,ecart_q_r_2,ecart_q_r_3,ecart_q_r_4,ecart_q_r_5,ecart_q_r_6,Ecart_pos_r,Ecart_rot_r
0,-0.11830054968595505,-0.8891770243644714,-0.3297393918037415,-0.7641962170600891,0.2493727803230286,-0.5427863001823425,-0.5011201500892639,0.4,-0.5,-0.3,0.4000000993227536,-0.5000000346593952,-0.29999967752628626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3919843617687717e-07,6.151911611596006e-05
1,-0.11830054968595505,-0.8891770243644714,-0.3297393918037415,-0.7641962170600891,0.2493727803230286,-0.5427863001823425,-0.5011201500892639,0.4,-0.4902,-0.3,0.40000009515945045,-0.4902000246942618,-0.2999996803523686,0.026700899004936218,0.017740309238433838,0.008374899625778143,0.05192601680755626,0.021062731742858887,0.029038071632385254,0.008955955505371094,3.3442448446354493e-07,6.222598477734209e-05
2,-0.09159965068101883,-0.8714367151260376,-0.33811429142951965,-0.8161222338676454,0.2283100485801697,-0.5137482285499573,-0.510076105594635,0.4,-0.4804,-0.3,0.4000000938121656,-0.48040000577779635,-0.29999968590672493,0.022813715040683746,0.0170290470123291,0.004613518714904785,0.04789370298385609,0.02033732831478119,0.027506709098815918,0.007209658622741699,3.278546793608172e-07,5.998329527301394e-05
3,-0.06878593564033508,-0.8544076681137085,-0.34272781014442444,-0.8640159368515015,0.20797272026538852,-0.48624151945114136,-0.5172857642173767,0.4,-0.4706,-0.3,0.40000009239256074,-0.47059999455984436,-0.2999996834724042,0.019612319767475128,0.016350150108337402,0.001474142074584961,0.04445624351501465,0.019802540540695218,0.026222437620162964,0.0057048797607421875,3.297812903608213e-07,5.944619346109903e-05
4,-0.049173615872859955,-0.8380575180053711,-0.3442019522190094,-0.9084721803665161,0.1881701797246933,-0.4600190818309784,-0.5229906439781189,0.4,-0.4608,-0.3,0.40000008990163866,-0.46079999068267274,-0.2999996821642216,0.016915854066610336,0.015703916549682506,0.0012036561965941828,0.041459381580352894,0.019411057233810397,0.02511921525001526,0.004380345344543457,3.3043713354203493e-07,6.106720076104466e-05
5,-0.03225776180624962,-0.8223536014556886,-0.3429982960224152,-0.949931561946869,0.1687591224908829,-0.43489986658096313,-0.5273709893226624,0.4,-0.451,-0.3,0.40000008481619653,-0.45099998002501457,-0.2999996914524573,0.014600619673728943,0.015089750289917103,0.0035293996334076483,0.03879833221435536,0.01913061738014224,0.024152100086212158,0.003194749355316162,3.2061561616562146e-07,5.835716183355544e-05
6,-0.017657142132520676,-0.8072638511657715,-0.33946889638900757,-0.9887298941612244,0.14962850511074066,-0.410747766494751,-0.5305657386779785,0.4,-0.4412,-0.3,0.40000008188713976,-0.4411999840444176,-0.2999996841912026,0.012578908819705248,0.014506638050079346,0.0055805146694182794,0.03639894723892212,0.01893840730190277,0.023289144039154053,0.0021188855171203613,3.266424356569066e-07,6.128168132590872e-05
7,-0.005078233312815429,-0.7927572131156921,-0.3338883817195893,-1.0251288414001465,0.1306900978088379,-0.3874586224555969,-0.5326846241950989,0.4,-0.4314,-0.3,0.40000007858752606,-0.4313999882131164,-0.2999996819325726,0.010786742437630892,0.013953804969787487,0.007413208484649658,0.03420710563659668,0.01881759613752365,0.022507011890411377,0.001132190227508545,3.278441981252494e-07,6.0660001736323466e-05
8,0.005708509124815464,-0.7788034081459047,-0.32647517323493963,-1.0593359470367432,0.11187250167131424,-0.36495161056518555,-0.5338168144226074,0.4,-0.4216,-0.3,0.40000007237961865,-0.42159998293410555,-0.2999996984202847,0.009176338091492655,0.013430535793304443,0.009069114923477228,0.03218221664428711,0.018755450844764696,0.02178800106048584,0.00021916627883911133,3.1061290802718337e-07,5.820707889370169e-05
9,0.014884847216308119,-0.7653728723526002,-0.3174060583114624,-1.0915181636810303,0.09311705082654954,-0.3431636095046997,-0.5340359807014465,0.4,-0.4118,-0.3,0.40000006521609455,-0.41179997964850706,-0.29999970755759586,0.007711331360042097,0.01293635368347179,0.010579496622085571,0.03029322624206543,0.018742002546787276,0.02111849188804621,0.0006315112113952637,3.0031630322187315e-07,5.783016740679159e-05
10,0.022596178576350216,-0.7524365186691284,-0.30682656168937683,-1.1218113899230957,0.07437504827976227,-0.3220451176166535,-0.5334044694900513,0.4,-0.402,-0.3,0.40000006758713,-0.4019999669203941,-0.29999969502233953,0.0063636247068643535,0.012470960617065319,0.011968433856964111,0.028515815734863503,0.018769223242998123,0.020487785339355524,0.001428365707397461,3.141236282908825e-07,5.900311009554571e-05
11,0.02895980328321457,-0.7399655580520631,-0.2948581278324127,-1.1503272056579592,0.055605825036764145,-0.301557332277298,-0.5319761037826538,0.4,-0.3922,-0.3,0.4000000649643409,-0.392199960329203,-0.2999996904371931,0.005111243575811386,0.01203453540802013,0.013254165649414062,0.026830554008483665,0.01883053407073021,0.019887179136276245,0.0021778345108032227,3.187840477876811e-07,5.927427685037401e-05
12,0.034071046859025955,-0.727931022644043,-0.28160396218299866,-1.1771577596664429,0.036775290966033936,-0.28167015314102173,-0.5297982692718506,0.4,-0.3824,-0.3,0.40000005846008785,-0.3823999576761341,-0.2999997020475275,0.003936853259801865,0.011627256870269775,0.014451026916503906,0.025221943855285645,0.01892034336924553,0.019309699535369873,0.0028847455978393555,3.065690254195387e-07,5.724741703261316e-05
13,0.03800790011882782,-0.7163037657737732,-0.26715293526649475,-1.2023797035217285,0.017854947596788406,-0.26236045360565186,-0.5269135236740112,0.4,-0.3726,-0.3,0.40000005057206056,-0.37259997296478253,-0.2999997188788519,0.0028267167508602142,0.0112496018409729,0.015569955110549927,0.023677349090576172,0.019033821299672127,0.018749624490737887,0.003552734851837158,2.8691032778402305e-07,5.569850708297963e-05
14,0.040834616869688034,-0.7050541639328003,-0.2515829801559448,-1.2260570526123047,-0.0011788737028837204,-0.24361082911491397,-0.5233607888221741,0.4,-0.3628,-0.3,0.40000004885615237,-0.362799976255493,-0.2999997201843589,0.0017699189484119415,0.010902225971221924,0.01661953330039978,0.02218639850616455,0.019166691228747368,0.0182021111249924,0.004184365272521973,2.850395029490044e-07,5.775448994427279e-05
15,0.042604535818099976,-0.6941519379615784,-0.23496344685554504,-1.2482434511184692,-0.020345564931631088,-0.22540871798992157,-0.5191764235496521,0.4,-0.353,-0.3,0.400000051763475,-0.3529999754671983,-0.29999969492607154,0.0007578320801258087,0.010585963726043701,0.017606139183044434,0.020740389823913796,0.019315090030431747,0.017663240432739258,0.004781246185302734,3.104052472474765e-07,5.9885998666686646e-05
16,0.043362367898225784,-0.6835659742355347,-0.2173573076725006,-1.268983840942383,-0.039660654962062836,-0.2077454775571823,-0.5143951773643494,0.4,-0.3432,-0.3,0.4000000440035537,-0.34319995736227255,-0.29999970944754445,0.0002163387835025718,0.010301828384399414,0.018534719944000216,0.01933193206787087,0.019475460052490234,0.01712965965270996,0.005344688892364502,2.969427856681977e-07,5.6581428850677185e-05
17,0.04314602911472321,-0.6732641458511353,-0.1988225877285004,-1.288315773010254,-0.05913611501455307,-0.19061581790447235,-0.5090504884719849,0.4,-0.33340000000000003,-0.3,0.40000004048376087,-0.3333999718901745,-0.2999997222980402,0.001157846301794059,0.010050594806671143,0.019408777356147794,0.01795506477355957,0.019644491374492645,0.0165986567735672,0.005875289440155029,2.820416204550975e-07,5.734919028554941e-05
18,0.04198818281292915,-0.6632135510444641,-0.1794138103723526,-1.3062708377838135,-0.07878060638904572,-0.17401716113090515,-0.5031751990318298,0.4,-0.3236,-0.3,0.40000003593885414,-0.32359996620196213,-0.29999972447921447,0.0020706355571746826,0.009833574295043945,0.02023082971572876,0.01660478115081787,0.019819021224975586,0.016067981719970703,0.006373018026351929,2.799028614578972e-07,5.621955216383867e-05
19,0.03991754725575447,-0.6533799767494202,-0.15918298065662384,-1.3228756189346313,-0.0985996276140213,-0.15794917941093445,-0.4968021810054779,0.4,-0.31379999999999997,-0.3,0.4000000346585863,-0.3137999667416748,-0.2999997174053193,0.002957589924335473,0.009651660919189453,0.02100248634815216,0.015276551246643066,0.0199960693717003,0.015535786747932406,0.006837815046310369,2.866480199846506e-07,5.671011098229428e-05
20,0.036959957331419,-0.6437283158302307,-0.13818049430847168,-1.3381521701812744,-0.1185956969857216,-0.14241339266300204,-0.48996436595916754,0.4,-0.304,-0.3,0.40000003089567027,-0.3039999773916617,-0.2999997320588747,0.0038206316530704568,0.009505987167358398,0.02172461897134781,0.013966679573059082,0.02017273753881453,0.015000656247139005,0.007269144058227595,2.706623838312188e-07,5.590750788542209e-05
21,0.03313932567834854,-0.6342223286628723,-0.11645587533712387,-1.3521188497543335,-0.13876843452453613,-0.12741273641586304,-0.48269522190093994,0.4,-0.2942,-0.3,0.40000002965670656,-0.2941999868429781,-0.2999997351355089,0.00466090627014637,0.009397506713867188,0.02239750325679779,0.012672185897827148,0.02034628391265869,0.014461494982242584,0.007666200399398804,2.668441981638058e-07,5.691539706731419e-05
22,0.02847841940820217,-0.6248248219490051,-0.09405837208032608,-1.3647910356521606,-0.15911471843719482,-0.11295124143362045,-0.47502902150154114,0.4,-0.2844,-0.3,0.40000002313513394,-0.2843999718801698,-0.2999997431101557,0.005478857085108757,0.009327173233032227,0.023020945489406586,0.011390328407287598,0.02051396667957306,0.013917572796344757,0.008028090000152532,2.5945780267376287e-07,5.472149604202059e-05
23,0.022999562323093414,-0.6154976487159729,-0.0710374265909195,-1.3761813640594482,-0.17962868511676788,-0.0990336686372757,-0.4670009315013886,0.4,-0.27459999999999996,-0.3,0.4000000257886117,-0.2745999797688084,-0.29999971980387496,0.006274370476603508,0.009295463562011719,0.023594394326210022,0.010118842124938965,0.020673245191574097,0.013368412852287279,0.008353769779205378,2.8210675653606324e-07,5.772924208713448e-05
24,0.016725191846489906,-0.6062021851539612,-0.04744303226470947,-1.3863002061843872,-0.20030193030834198,-0.08566525578498842,-0.4586471617221832,0.4,-0.26480000000000004,-0.3,0.4000000216343709,-0.2647999802391391,-0.29999973095669513,0.007046843878924847,0.009303271770477295,0.024117015302181244,0.008855700492858887,0.020821645855903625,0.012813866138458266,0.008642077445983887,2.7063413959771384e-07,5.67615020941048e-05
25,0.00967834796756506,-0.5968989133834839,-0.02332601696252823,-1.395155906677246,-0.2211235761642456,-0.07285138964653015,-0.45000508427619934,0.4,-0.255,-0.3,0.4000000168138904,-0.254999994224734,-0.2999997686559945,0.007795293116942048,0.009350717067718395,0.024587771855294704,0.007599353790283425,0.02095678448677063,0.012253999710083008,0.008891791105270386,2.3202609657487747e-07,5.3400112051349424e-05
26,0.0018830548506230116,-0.5875481963157655,0.0012617548927664757,-1.4027552604675295,-0.24208036065101624,-0.060597389936447144,-0.44111329317092896,0.4,-0.24519999999999997,-0.3,0.4000000158603702,-0.24519999888541447,-0.2999997663577706,0.00851844041608274,0.009437978267669789,0.025005533359944824,0.006348609924316184,0.021076470613479614,0.011689137667417526,0.009101778268814031,2.3418258902144504e-07,5.45346872513619e-05
27,-0.006635385565459728,-0.5781102180480957,0.0262672882527113,-1.4091038703918457,-0.26315683126449585,-0.04890825226902962,-0.4320115149021149,0.4,-0.2354,-0.3,0.4000000129675831,-0.235399984720797,-0.2999997526967023,0.009214802645146847,0.009564995765686035,0.025369146838784214,0.005102038383483887,0.021178573369979914,0.011119823902845376,0.009270817041397095,2.481139522368459e-07,5.4427651434707514e-05
28,-0.015850188210606575,-0.5685452222824097,0.051636435091495514,-1.4142059087753296,-0.28433540463447576,-0.03778842836618424,-0.42274069786071783,0.4,-0.22559999999999997,-0.3,0.40000001453734557,-0.22559999989960877,-0.2999997490367008,0.00988277792930603,0.0097312331199646,0.025677494704723372,0.0038585662841796875,0.02126124501228327,0.010546790435910232,0.009397864341735895,2.5138401309185486e-07,5.6089744703058386e-05
29,-0.025732966139912605,-0.5588139891624451,0.07731392979621889,-1.4180644750595093,-0.30559664964675903,-0.02724163793027401,-0.41334283351898193,0.4,-0.21580000000000005,-0.3,0.4000000132164757,-0.2158000012021212,-0.2999997441100239,0.010520728304982185,0.009936213493347168,0.025929600000381456,0.002617478370666504,0.02132272720336914,0.009970925748348236,0.00948190689086914,2.5623387791642664e-07,5.6941005823318847e-05
30,-0.03625369444489479,-0.5488777756690979,0.10324352979660034,-1.4206819534301758,-0.3269193768501282,-0.017270712181925774,-0.4038609266281128,0.4,-0.20600000000000002,-0.3,0.4000000091888127,-0.2059999999980266,-0.2999997640772591,0.011127065867185593,0.010178923606872559,0.026124626398086548,0.0013778209686279297,0.021361500024795532,0.009393266402184963,0.009522080421447754,2.361016178578683e-07,5.456141337845111e-05
31,-0.04738076031208038,-0.5386988520622253,0.1293681561946869,-1.4220597743988037,-0.3482808768749237,-0.00787744577974081,-0.39433884620666504,0.4,-0.19619999999999999,-0.3,0.4000000107886339,-0.19620001943815515,-0.2999997776371896,0.011700324714183807,0.010458052158355713,0.026262015104293823,0.00013899803161621094,0.02137628197669983,0.00881495454814285,0.009517699480056763,2.2347137610993642e-07,5.469484813147574e-05
32,-0.05908108502626419,-0.5282407999038696,0.1556301712989807,-1.42219877243042,-0.36965715885162354,0.00093750876840204,-0.3848211467266083,0.4,-0.1864,-0.3,0.4000000077979713,-0.1864000102737322,-0.2999997841255565,0.012239232659339905,0.010772407054901123,0.026341468095779447,0.001099705696105957,0.021366000175476074,0.008237215341068804,0.009468227624893133,2.1625941200399232e-07,5.3290797438876325e-05
33,-0.0713203176856041,-0.5174683928489685,0.18197163939476016,-1.421099066734314,-0.3910231590270996,0.009174724109470844,-0.37535291910171514,0.4,-0.17659999999999998,-0.3,0.4000000071845572,-0.17660001025244998,-0.2999997662971183,0.012742765247821808,0.011120080947875977,0.0263630002737045,0.002339005470275879,0.0213298499584198,0.007661317475140095,0.009373247623443659,2.340379616940667e-07,5.43740545140281e-05
