Iteration,q_l_0,q_l_1,q_l_2,q_l_3,q_l_4,q_l_5,q_l_6,translation_goal_l_0,translation_goal_l_1,translation_goal_l_2,translation_l_0,translation_l_1,translation_l_2,ecart_q_l_0,ecart_q_l_1,ecart_q_l_2,ecart_q_l_3,ecart_q_l_4,ecart_q_l_5,ecart_q_l_6,Ecart_pos_l,Ecart_rot_l,Iteration,q_r_0,q_r_1,q_r_2,q_r_3,q_r_4,q_r_5,q_r_6,translation_goal_r_0,translation_goal_r_1,translation_goal_r_2,translation_r_0,translation_r_1,translation_r_2,ecart_q_r_0,ecart_q_r_1,ecart_q_r_2,ecart_q_r_3,ecart_q_r_4,ecart_q_r_5,ecart_q_r_6,Ecart_pos_r,Ecart_rot_r
10,0.0238355789333581,0.917994260787964,0.5509158372879028,-1.1271792650222778,-0.344910353422165,-0.2568817734718323,0.5816122889518738,0.4,0.5,-0.2,0.4000000375263556,0.4999998130313621,-0.1999999369962662,0.0051991026848554,0.0051714777946472,0.0178354978561401,0.0287576913833618,0.0125586390495299,0.0271439552307128,0.0100310444831848,2.0083567754258655e-07,6.466172953878413e-05,10,0.0238355789333581,-0.917994260787964,-0.5509158372879028,-1.1271792650222778,0.344910353422165,-0.2568817734718323,-0.5816122889518738,0.4,-0.5,-0.2,0.4000000400657894,-0.4999999240848031,-0.1999996700572122,0.0051991026848554,0.0051714777946472,0.0178354978561401,0.0287576913833618,0.0125586390495299,0.0271439552307128,0.0100310444831848,3.4092613248266655e-07,6.391338337152774e-05
11,0.0290346816182136,0.9231657385826112,0.568751335144043,-1.1559369564056396,-0.3574689924716949,-0.2297378182411193,0.5916433334350586,0.4,0.5,-0.19,0.4000000412983925,0.4999997987100787,-0.189999917832034,0.0035022310912609,0.0056498646736145,0.0167394876480102,0.0270204544067382,0.0129200816154479,0.0264931619167327,0.0102989077568054,2.2130242715153842e-07,6.726956189595512e-05,11,0.0290346816182136,-0.9231657385826112,-0.568751335144043,-1.1559369564056396,0.3574689924716949,-0.2297378182411193,-0.5916433334350586,0.4,-0.5,-0.19,0.400000041223961,-0.499999896935991,-0.1899996521824865,0.0035022310912609,0.0056498646736145,0.0167394876480102,0.0270204544067382,0.0129200816154479,0.0264931619167327,0.0102989077568054,3.6510084575165037e-07,6.522294228261671e-05
12,0.0325369127094745,0.9288156032562256,0.5854908227920532,-1.182957410812378,-0.3703890740871429,-0.2032446563243866,0.601942241191864,0.4,0.5,-0.18,0.400000033322108,0.4999998123296136,-0.1799999399943634,0.0018540509045124,0.0061441659927368,0.0156570672988892,0.02536141872406,0.0132783651351929,0.0258760750293731,0.0105692148208618,1.998279590881572e-07,6.495416533880416e-05,12,0.0325369127094745,-0.9288156032562256,-0.5854908227920532,-1.182957410812378,0.3703890740871429,-0.2032446563243866,-0.601942241191864,0.4,-0.5,-0.18,0.4000000304113838,-0.4999998986151122,-0.1799996758622818,0.0018540509045124,0.0061441659927368,0.0156570672988892,0.02536141872406,0.0132783651351929,0.0258760750293731,0.0105692148208618,3.409824160343037e-07,6.297123269405347e-05
13,0.0343909636139869,0.9349597692489624,0.6011478900909425,-1.208318829536438,-0.3836674392223358,-0.1773685812950134,0.6125114560127258,0.4,0.5,-0.1699999999999999,0.4000000261155316,0.4999998293448369,-0.1699999634966394,0.0002416558563709,0.006652295589447,0.0145763754844664,0.0237677097320556,0.0136331319808959,0.0252855569124221,0.0108397006988525,1.7645877995395452e-07,6.170840612185202e-05,13,0.0343909636139869,-0.9349597692489624,-0.6011478900909425,-1.208318829536438,0.3836674392223358,-0.1773685812950134,-0.6125114560127258,0.4,-0.5,-0.1699999999999999,0.4000000201691452,-0.4999999045615677,-0.1699997011071683,0.0002416558563709,0.006652295589447,0.0145763754844664,0.0237677097320556,0.0136331319808959,0.0252855569124221,0.0108397006988525,3.144077186867103e-07,6.224940881338625e-05
14,0.0346326194703578,0.9416120648384094,0.6157242655754089,-1.2320865392684937,-0.3973005712032318,-0.1520830243825912,0.6233511567115784,0.4,0.5,-0.16,0.4000000280760485,0.4999998074530132,-0.1599999322198582,0.0013465359807014,0.0071719884872436,0.0134865641593933,0.0222285985946657,0.0139839649200439,0.024715706706047,0.0111081004142761,2.0605036821937074e-07,6.6155062938833e-05,14,0.0346326194703578,-0.9416120648384094,-0.6157242655754089,-1.2320865392684937,0.3973005712032318,-0.1520830243825912,-0.6233511567115784,0.4,-0.5,-0.16,0.4000000189160456,-0.4999998724604423,-0.1599996717970186,0.0013465359807014,0.0071719884872436,0.0134865641593933,0.0222285985946657,0.0139839649200439,0.024715706706047,0.0111081004142761,3.5262069211221684e-07,6.40728538314761e-05
15,0.0332860834896564,0.9487840533256532,0.6292108297348022,-1.2543151378631594,-0.4112845361232757,-0.1273673176765442,0.6344592571258545,0.4,0.5,-0.15,0.4000000245915062,0.4999998151338531,-0.1499999305205705,0.0029212590306997,0.0077008008956909,0.0123773217201232,0.0207346677780149,0.014329969882965,0.0241615250706672,0.0113719701766967,1.9901664639678562e-07,6.490926091373694e-05,15,0.0332860834896564,-0.9487840533256532,-0.6292108297348022,-1.2543151378631594,0.4112845361232757,-0.1273673176765442,-0.6344592571258545,0.4,-0.5,-0.15,0.4000000120601302,-0.4999998707828079,-0.1499996722885454,0.0029212590306997,0.0077008008956909,0.0123773217201232,0.0207346677780149,0.014329969882965,0.0241615250706672,0.0113719701766967,3.524731577642597e-07,6.613302224423023e-05
16,0.0303648244589567,0.956484854221344,0.6415881514549255,-1.2750498056411743,-0.4256145060062408,-0.1032057926058769,0.6458312273025513,0.4,0.5,-0.1399999999999999,0.400000023695767,0.4999998110275147,-0.1399999342991445,0.0044927690178155,0.0082361102104188,0.0112385153770446,0.0192788839340209,0.0146700143814086,0.0236187875270843,0.0116294622421264,2.014663544479308e-07,6.6044786024122e-05,16,0.0303648244589567,-0.956484854221344,-0.6415881514549255,-1.2750498056411743,0.4256145060062408,-0.1032057926058769,-0.6458312273025513,0.4,-0.5,-0.1399999999999999,0.4000000076545629,-0.4999998581635443,-0.139999678483684,0.0044927690178155,0.0082361102104188,0.0112385153770446,0.0192788839340209,0.0146700143814086,0.0236187875270843,0.0116294622421264,3.514952544608678e-07,6.416380188056792e-05
17,0.0258720554411411,0.9647209644317628,0.6528266668319702,-1.294328689575195,-0.4402845203876495,-0.0795870050787925,0.6574606895446777,0.4,0.5,-0.13,0.4000000205028189,0.4999998244968888,-0.1299999150321318,0.0060711409896612,0.0087752342224121,0.0100601911544799,0.0178548097610473,0.0150029361248016,0.0230839625000953,0.0118780136108398,1.960643930917369e-07,6.475185040244469e-05,17,0.0258720554411411,-0.9647209644317628,-0.6528266668319702,-1.294328689575195,0.4402845203876495,-0.0795870050787925,-0.6574606895446777,0.4,-0.5,-0.13,0.4000000008320262,-0.4999998639639963,-0.1299996618615924,0.0060711409896612,0.0087752342224121,0.0100601911544799,0.0178548097610473,0.0150029361248016,0.0230839625000953,0.0118780136108398,3.644778034308018e-07,6.78306908525883e-05
18,0.0198009144514799,0.9734961986541748,0.6628868579864502,-1.312183499336243,-0.4552874565124511,-0.0565030425786972,0.6693387031555176,0.4,0.5,-0.12,0.4000000181725104,0.4999998327114898,-0.1199999299955731,0.0076665738597512,0.0093149542808531,0.0088319778442382,0.016457200050354,0.0153271555900573,0.0225540660321712,0.0121156573295593,1.822534102818485e-07,6.329451946385234e-05,18,0.0198009144514799,-0.9734961986541748,-0.6628868579864502,-1.312183499336243,0.4552874565124511,-0.0565030425786972,-0.6693387031555176,0.4,-0.5,-0.12,0.3999999947707029,-0.499999865356187,-0.1199996797020723,0.0076665738597512,0.0093149542808531,0.0088319778442382,0.016457200050354,0.0153271555900573,0.0225540660321712,0.0121156573295593,3.474867830110063e-07,6.718281838402618e-05
19,0.0121343405917286,0.982811152935028,0.6717188358306885,-1.328640699386597,-0.4706146121025085,-0.0339489765465259,0.6814543604850769,0.4,0.5,-0.11,0.4000000155895303,0.4999998412540012,-0.1099999484226965,0.0092896369751542,0.009852111339569,0.0075433254241943,0.0150816440582275,0.0156410634517669,0.0220265882089734,0.0123400688171386,1.6764111610203085e-07,6.231962811398262e-05,19,0.0121343405917286,-0.982811152935028,-0.6717188358306885,-1.328640699386597,0.4706146121025085,-0.0339489765465259,-0.6814543604850769,0.4,-0.5,-0.11,0.3999999883734094,-0.4999998679295859,-0.1099997012431754,0.0092896369751542,0.009852111339569,0.0075433254241943,0.0150816440582275,0.0156410634517669,0.0220265882089734,0.0123400688171386,3.268538084452709e-07,6.52899636861548e-05
