Iteration,q_r_0,q_r_1,q_r_2,q_r_3,q_r_4,q_r_5,q_r_6,translation_goal_r_0,translation_goal_r_1,translation_goal_r_2,translation_r_0,translation_r_1,translation_r_2,ecart_q_r_0,ecart_q_r_1,ecart_q_r_2,ecart_q_r_3,ecart_q_r_4,ecart_q_r_5,ecart_q_r_6,Ecart_pos_r,Ecart_rot_r
10,0.023835578933358192,-0.9179942607879639,-0.5509158372879028,-1.1271792650222778,0.344910353422165,-0.2568817734718323,-0.5816122889518738,0.4,-0.5,-0.2,0.4000000400657894,-0.4999999240848031,-0.19999967005721223,0.005199102684855461,0.005171477794647217,0.017835497856140137,0.028757691383361816,0.012558639049529974,0.02714395523071289,0.010031044483184814,3.4092613248266655e-07,6.391338337152774e-05
11,0.029034681618213654,-0.9231657385826111,-0.568751335144043,-1.1559369564056396,0.35746899247169495,-0.22973781824111938,-0.5916433334350586,0.4,-0.5,-0.19,0.40000004122396104,-0.49999989693599106,-0.18999965218248654,0.00350223109126091,0.005649864673614502,0.016739487648010254,0.02702045440673828,0.012920081615447998,0.02649316191673276,0.01029890775680542,3.6510084575165026e-07,6.522294228261671e-05
12,0.032536912709474564,-0.9288156032562256,-0.5854908227920532,-1.182957410812378,0.37038907408714294,-0.20324465632438662,-0.601942241191864,0.4,-0.5,-0.18,0.4000000304113838,-0.4999998986151122,-0.17999967586228188,0.0018540509045124054,0.006144165992736816,0.01565706729888927,0.02536141872406006,0.013278365135192927,0.025876075029373197,0.010569214820861816,3.4098241603430367e-07,6.297123269405347e-05
13,0.03439096361398697,-0.9349597692489624,-0.6011478900909425,-1.208318829536438,0.38366743922233587,-0.17736858129501343,-0.6125114560127258,0.4,-0.5,-0.16999999999999998,0.40000002016914527,-0.49999990456156773,-0.16999970110716836,0.0002416558563709259,0.0066522955894470215,0.014576375484466442,0.023767709732055664,0.01363313198089594,0.02528555691242218,0.010839700698852539,3.144077186867103e-07,6.224940881338625e-05
14,0.034632619470357895,-0.9416120648384094,-0.6157242655754089,-1.2320865392684937,0.3973005712032318,-0.15208302438259125,-0.6233511567115784,0.4,-0.5,-0.16,0.40000001891604564,-0.4999998724604423,-0.15999967179701868,0.0013465359807014465,0.007171988487243652,0.01348656415939331,0.02222859859466575,0.013983964920043945,0.024715706706047058,0.011108100414276123,3.5262069211221684e-07,6.40728538314761e-05
15,0.03328608348965645,-0.9487840533256531,-0.6292108297348022,-1.2543151378631594,0.41128453612327576,-0.1273673176765442,-0.6344592571258545,0.4,-0.5,-0.15,0.40000001206013025,-0.4999998707828079,-0.1499996722885454,0.00292125903069973,0.007700800895690918,0.012377321720123291,0.020734667778014915,0.014329969882965088,0.024161525070667253,0.011371970176696777,3.5247315776425967e-07,6.613302224423023e-05
16,0.03036482445895672,-0.956484854221344,-0.6415881514549255,-1.2750498056411743,0.42561450600624084,-0.10320579260587694,-0.6458312273025513,0.4,-0.5,-0.13999999999999999,0.4000000076545629,-0.49999985816354436,-0.13999967848368403,0.00449276901781559,0.008236110210418812,0.011238515377044678,0.019278883934020996,0.014670014381408691,0.023618787527084364,0.011629462242126465,3.514952544608678e-07,6.416380188056792e-05
17,0.02587205544114113,-0.9647209644317628,-0.6528266668319702,-1.2943286895751953,0.44028452038764954,-0.07958700507879257,-0.6574606895446777,0.4,-0.5,-0.13,0.40000000083202625,-0.49999986396399637,-0.12999966186159248,0.006071140989661217,0.00877523422241211,0.01006019115447998,0.017854809761047363,0.015002936124801636,0.023083962500095367,0.011878013610839844,3.644778034308018e-07,6.78306908525883e-05
18,0.019800914451479912,-0.9734961986541749,-0.6628868579864502,-1.3121834993362427,0.45528745651245117,-0.056503042578697205,-0.6693387031555176,0.4,-0.5,-0.12,0.39999999477070297,-0.49999986535618707,-0.11999967970207234,0.0076665738597512245,0.00931495428085316,0.008831977844238281,0.016457200050354004,0.015327155590057373,0.02255406603217125,0.012115657329559326,3.474867830110063e-07,6.718281838402618e-05
19,0.012134340591728687,-0.9828111529350281,-0.6717188358306885,-1.3286406993865967,0.47061461210250854,-0.033948976546525955,-0.6814543604850769,0.4,-0.5,-0.11000000000000001,0.39999998837340944,-0.49999986792958595,-0.10999970124317546,0.00928963697515428,0.009852111339569092,0.007543325424194336,0.015081644058227539,0.015641063451766968,0.022026588208973408,0.012340068817138672,3.2685380844527086e-07,6.52899636861548e-05
20,0.0028447036165744066,-0.9926632642745972,-0.6792621612548828,-1.3437223434448242,0.4862556755542755,-0.011922388337552547,-0.6937944293022156,0.4,-0.5,-0.1,0.39999998047521673,-0.49999985859216844,-0.0999996760086066,0.010951511794701219,0.010383129119873047,0.006182968616485596,0.013724446296692117,0.01594284176826477,0.021499489434063435,0.01254892349243164,3.540449335753696e-07,6.99052426966773e-05
21,-0.008106808178126812,-1.0030463933944702,-0.6854451298713684,-1.3574467897415163,0.5021985173225403,0.009577101096510887,-0.7063433527946472,0.4,-0.485,-0.1,0.3999999786333228,-0.4849998464282531,-0.09999969596235835,0.009068013110663742,0.023428678512573242,0.011142253875732422,0.056940913200378196,0.020954430103302002,0.039184695109725005,0.008060693740844838,3.4129123029939324e-07,6.718281838402618e-05
22,0.0009612049325369298,-0.979617714881897,-0.674302875995636,-1.4143877029418945,0.4812440872192383,0.04876179620623589,-0.714404046535492,0.4,-0.47,-0.1,0.399999967499821,-0.46999982934954243,-0.09999970618614948,0.005935673660133034,0.02208060026168812,0.015102922916412354,0.05354881286621094,0.021415352821350098,0.03889373317360877,0.005704462528228649,3.4132743672203414e-07,6.711768719469546e-05
23,0.006896878592669964,-0.9575371146202089,-0.6591999530792236,-1.4679365158081055,0.4598287343978882,0.08765552937984467,-0.7201085090637207,0.4,-0.455,-0.1,0.39999996253248365,-0.45499983925854187,-0.0999997316403144,0.0031913165003061295,0.020819425582885853,0.018696308135986328,0.05038034915924072,0.022063732147216797,0.0386672168970108,0.0033782124519349255,3.1505325265884954e-07,6.283217203417735e-05
24,0.010088195092976093,-0.936717689037323,-0.6405036449432373,-1.5183168649673462,0.4377650022506714,0.12632274627685547,-0.7234867215156556,0.4,-0.44,-0.1,0.39999995844062375,-0.43999984655713825,-0.09999973531621074,0.0007166443392634392,0.0196419358253479,0.02203160524368286,0.04737734794616699,0.022896409034729004,0.0384770929813385,0.001047372817993053,3.0875459814540285e-07,6.461662189849449e-05
25,0.010804839432239532,-0.9170757532119751,-0.6184720396995544,-1.5656942129135132,0.4148685932159424,0.16479983925819397,-0.7245340943336487,0.4,-0.425,-0.1,0.3999999466234314,-0.42499983213267134,-0.09999973969509851,0.0015734434127807617,0.01854795217514038,0.025184154510498047,0.044493675231933594,0.02391377091407776,0.03829699754714966,0.001316368579864502,3.1430421544489224e-07,6.301751807313849e-05
26,0.00923139601945877,-0.8985278010368347,-0.5932878851890564,-1.6101878881454468,0.3909548223018646,0.20309683680534363,-0.7232177257537842,0.4,-0.41000000000000003,-0.1,0.399999940962856,-0.40999983430676296,-0.0999997488401815,0.0037409048527479163,0.01753997802734375,0.02820521593093872,0.041692137718200906,0.02511844038963318,0.038100957870483426,0.003737211227416992,3.0662825639542586e-07,6.283217203417735e-05
27,0.0054904911667108544,-0.880987823009491,-0.5650826692581177,-1.6518800258636477,0.36583638191223145,0.24119779467582705,-0.7194805145263672,0.4,-0.395,-0.1,0.3999999277359787,-0.3949998495246154,-0.09999972553592232,0.005830721609527246,0.01662391424179077,0.03112781047821045,0.038942813873290794,0.026514261960983276,0.037862449884414645,0.006235063076019287,3.212405019423723e-07,6.774466578463034e-05
28,-0.00034023044281639164,-0.8643639087677002,-0.5339548587799072,-1.6908228397369385,0.33932211995124817,0.2790602445602417,-0.7132454514503479,0.4,-0.38,-0.1,0.39999992613327146,-0.379999855188648,-0.09999975512896553,0.007874635368352756,0.0158083438873291,0.03397086262702942,0.036220669746398926,0.028104841709136963,0.03755390644073486,0.008825898170471191,2.939191126640208e-07,6.217911021622058e-05
29,-0.008214865811169147,-0.8485555648803711,-0.4999839961528778,-1.7270435094833374,0.3112172782421112,0.31661415100097656,-0.7044195532798767,0.4,-0.365,-0.1,0.3999999153972504,-0.3649998422229637,-0.09999975937086265,0.009893360547721386,0.015104234218597412,0.0367407500743866,0.03350555896759033,0.02989259362220764,0.03714638948440552,0.011521518230438232,2.9992265696870595e-07,6.220255187372459e-05
30,-0.018108226358890533,-0.8334513306617737,-0.4632432460784912,-1.7605490684509277,0.28132468461990356,0.3537605404853821,-0.6928980350494385,0.4,-0.35,-0.1,0.3999999058878641,-0.34999984449135285,-0.09999975893622579,0.011897845193743706,0.014524698257446289,0.03943344950675959,0.030780553817749023,0.031876757740974426,0.03660985827445984,0.014327883720397838,3.019135252008488e-07,6.231962811398262e-05
31,-0.03000607155263424,-0.8189266324043274,-0.4238097965717316,-1.7913296222686768,0.24944792687892914,0.3903703987598419,-0.6785701513290406,0.4,-0.33499999999999996,-0.1,0.39999990590730483,-0.33499986226116085,-0.09999978122494721,0.013889947906136513,0.014084398746490479,0.04203516244888311,0.028032422065734863,0.03405177593231201,0.03591325879096985,0.01724451780319225,2.7511442494741004e-07,6.118644949992813e-05
32,-0.04389601945877075,-0.8048422336578369,-0.3817746341228485,-1.8193620443344116,0.21539615094661713,0.42628365755081177,-0.6613256335258484,0.4,-0.32,-0.1,0.39999989595002905,-0.3199998559739227,-0.09999978048941187,0.015862893313169486,0.013798475265502819,0.04452317953109741,0.02525126934051536,0.036404967308044434,0.035025715827941895,0.02026212215423584,2.8240893346744905e-07,6.070804920454975e-05
33,-0.05975891277194024,-0.7910437583923341,-0.3372514545917511,-1.844613313674927,0.1789911836385727,0.46130937337875366,-0.6410635113716125,0.4,-0.305,-0.1,0.39999990142001696,-0.30499988303966824,-0.09999980248161293,0.01780171319842338,0.0136815905570985,0.04686686396598816,0.022429585456847922,0.038914188742637634,0.03391748666763306,0.023360848426818848,2.4982242793303396e-07,5.9200445434726134e-05
34,-0.07756062597036362,-0.7773621678352356,-0.29038459062576294,-1.867042899131775,0.14007699489593506,0.4952268600463867,-0.6177026629447937,0.4,-0.29000000000000004,-0.1,0.3999998885143675,-0.2899998776442364,-0.09999978595403403,0.01968395709991455,0.013746678829193115,0.04902911186218262,0.019563674926757812,0.04154503345489502,0.0325620174407959,0.026507794857025035,2.70583914342207e-07,6.259971775079975e-05
35,-0.09724458307027817,-0.7636154890060425,-0.24135547876358032,-1.8866065740585327,0.09853196144104004,0.5277888774871826,-0.5911948680877687,0.4,-0.275,-0.1,0.39999988390355884,-0.274999888294923,-0.09999978846048509,0.021480873227119446,0.014003396034240723,0.050967976450920105,0.01665174961090088,0.04424867406487465,0.030938029289245605,0.029654860496521107,2.6590482180624544e-07,6.231962811398262e-05
36,-0.11872545629739761,-0.7496120929718018,-0.19038750231266022,-1.9032583236694336,0.05428328737616539,0.5587269067764282,-0.5615400075912476,0.4,-0.26,-0.1,0.39999988340467046,-0.25999990061031275,-0.09999980498387544,0.023159168660640717,0.014456927776336559,0.05263926088809967,0.013695478439331277,0.046960143372416496,0.029031991958618164,0.0327378511428833,2.4800014042264173e-07,6.170840612185202e-05
37,-0.14188462495803833,-0.7351551651954652,-0.13774824142456055,-1.9169538021087649,0.007323144003748894,0.5877588987350464,-0.5288021564483643,0.4,-0.245,-0.1,0.3999998751234712,-0.24499990065614535,-0.0999998086611852,0.024683356285095215,0.015106379985809437,0.05399952828884125,0.010698914527892844,0.04959801398217678,0.026841044425964355,0.03567555546760559,2.491463243994152e-07,5.855667410514798e-05
38,-0.16656798124313354,-0.7200487852096558,-0.0837487131357193,-1.9276527166366577,-0.04227486997842789,0.6145999431610107,-0.49312660098075867,0.4,-0.22999999999999998,-0.1,0.39999988188665947,-0.2299999212848876,-0.09999982964205996,0.026018664240837097,0.015944302082061768,0.055009353905916214,0.007668137550354004,0.052066199481487274,0.024375200271606556,0.03837284445762634,2.2174006825374466e-07,5.7602836761816434e-05
39,-0.19258664548397064,-0.704104483127594,-0.028739359229803085,-1.9353208541870117,-0.09434106945991516,0.6389751434326173,-0.4547537565231323,0.4,-0.21500000000000002,-0.1,0.39999989319900187,-0.21499994553821494,-0.09999984710509509,0.027134209871292114,0.0169561505317688,0.05563703551888466,0.004611611366272195,0.05425842106342316,0.021659493446349987,0.040724217891693115,1.9429202554703716e-07,5.78553712671237e-05
40,-0.21972085535526276,-0.6871483325958252,0.026897676289081573,-1.939932465553284,-0.14859949052333832,0.6606346368789673,-0.4140295386314392,0.4,-0.2,-0.1,0.3999998835087895,-0.1999999429879526,-0.09999983442395007,0.02800597250461581,0.01812070608139038,0.05586154758930206,0.0015391111373899147,0.05606557428836825,0.018734395503997914,0.042622178792953436,2.1032356974620426e-07,5.8106808182856184e-05
41,-0.24772682785987857,-0.6690276265144348,0.08275922387838364,-1.9414715766906738,-0.20466506481170657,0.6793690323829652,-0.3714073598384858,0.4,-0.2,-0.11,0.3999998833529033,-0.19999993779740086,-0.10999982700846332,0.024378255009651212,0.0068929195404052734,0.0028310194611549377,0.014329314231872559,0.012381285429000827,0.03471064567565929,0.006428688764572199,2.1771949906608212e-07,5.7043325796257704e-05
42,-0.22334857285022736,-0.6621347069740295,0.0799282044172287,-1.9271422624588013,-0.2170463502407074,0.6446583867073059,-0.3649786710739136,0.4,-0.2,-0.12000000000000001,0.39999989895381327,-0.19999995204445656,-0.11999983699876036,0.022721022367477417,0.006942749023437389,0.00200614333152771,0.015606999397277832,0.011472135782241849,0.03478598594665527,0.005337953567504827,1.9768528051059405e-07,5.6787180255923886e-05
43,-0.20062755048274994,-0.6551919579505922,0.07792206108570099,-1.9115352630615234,-0.22851848602294925,0.6098724007606506,-0.35964071750640875,0.4,-0.2,-0.13,0.3999999015739228,-0.19999994648845665,-0.12999983949008628,0.02106967568397522,0.006969571113586537,0.0012160316109657288,0.01686680316925049,0.010663956403732272,0.03481024503707886,0.004334062337875422,1.9574118206301333e-07,5.410527359117623e-05
44,-0.17955787479877472,-0.6482223868370056,0.07670602947473526,-1.894668459892273,-0.23918244242668152,0.5750621557235718,-0.3553066551685333,0.4,-0.2,-0.14,0.39999990862129675,-0.19999995473304188,-0.13999984191349776,0.019429668784141513,0.0069768428802490234,0.000461772084236145,0.018109679222106934,0.009947165846824646,0.034790992736816406,0.003407120704650879,1.8812364844186121e-07,5.388928360616774e-05
