Iteration,q_l_0,q_l_1,q_l_2,q_l_3,q_l_4,q_l_5,q_l_6,translation_goal_l_0,translation_goal_l_1,translation_goal_l_2,translation_l_0,translation_l_1,translation_l_2,ecart_q_l_0,ecart_q_l_1,ecart_q_l_2,ecart_q_l_3,ecart_q_l_4,ecart_q_l_5,ecart_q_l_6,Ecart_pos_l,Ecart_rot_l,velocity_l_0,velocity_l_1,velocity_l_2,velocity_l_3,velocity_l_4,velocity_l_5,velocity_l_6,Iteration.1,q_r_0,q_r_1,q_r_2,q_r_3,q_r_4,q_r_5,q_r_6,translation_goal_r_0,translation_goal_r_1,translation_goal_r_2,translation_r_0,translation_r_1,translation_r_2,ecart_q_r_0,ecart_q_r_1,ecart_q_r_2,ecart_q_r_3,ecart_q_r_4,ecart_q_r_5,ecart_q_r_6,Ecart_pos_r,Ecart_rot_r,velocity_r_0,velocity_r_1,velocity_r_2,velocity_r_3,velocity_r_4,velocity_r_5,velocity_r_6,Distance
10,0.0085954079404473,0.7434399127960205,0.3531092405319214,-1.0961706638336182,-0.1356203109025955,-0.3464456498622894,0.4985799193382263,0.4,0.402,-0.3,0.3997351162380325,0.401579959934602,-0.2992353606079108,0.0074758726512481,0.0341417120711633,0.0159420753052818,0.0552678736419485,0.0277953649895498,0.0429759526819119,0.0156966275874266,0.0009117403489087,0.4884335465714002,0.7475872651248107,-3.414171207116333,-1.594207530528188,-5.526787364194847,2.779536498954984,4.2975952681911975,-1.5696627587426668,10,0.0072206333279609,-0.7406899929046631,-0.357051134109497,-1.0960549116134644,0.1402742862701416,-0.3458903729915619,-0.4933207929134369,0.4,-0.402,-0.3,0.3997351780766988,-0.4015816361758847,-0.2992327502042514,0.0074803051850466,0.0343407878702854,0.0159541915773994,0.0553813841339241,0.027840786950165,0.0429316119982261,0.0154783092002049,0.0009131435754938,0.4880015893842824,0.7480305185046624,3.434078787028546,1.5954191577399446,-5.538138413392402,-2.784078695016501,4.293161199822614,1.5478309200204925,0.8031615961147313
11,0.0129633657634258,0.7237837910652161,0.3502911329269409,-1.1260932683944702,-0.1265951991081237,-0.3250059783458709,0.4879557192325592,0.4,0.3922,-0.3,0.3997533769298924,0.3917622094903631,-0.299228927290537,0.0056573158671517,0.0338599489866412,0.0179283009622457,0.0521636112678467,0.0280107069332109,0.0414224084959876,0.0170714226030332,0.0009203459090559,0.4995619216288673,0.5657315867151707,-3.3859948986641264,-1.792830096224576,-5.216361126784664,2.8010706933210945,4.142240849598762,-1.707142260303328,11,0.0105587663128972,-0.7230935096740723,-0.3492964804172516,-1.1234705448150637,0.1275284439325332,-0.3250971734523774,-0.4844904541969299,0.4,-0.3922,-0.3,0.399746852909793,-0.3917967236476132,-0.2992555591937401,0.0076310879725835,0.0340667608220041,0.0157234842625803,0.0546201903589482,0.0275609578428767,0.0415269296581991,0.0153430393736213,0.0008836896399186,0.4913531402870603,0.7631087972583579,3.4066760822004127,1.5723484262580338,-5.462019035894827,-2.7560957842876714,4.152692965819915,1.534303937362136,0.783558933617724
12,0.0160712804645299,0.7092981934547424,0.3371671736240387,-1.1514385938644411,-0.1078249439597129,-0.3034696877002716,0.4828833043575287,0.4,0.3824,-0.3,0.3997803018461641,0.3820015154123876,-0.2992806073537027,0.006301923232796,0.0333102839566986,0.0174801918158997,0.0517638871314851,0.0266355489759344,0.0383278757168865,0.016408603938843,0.0008512244268759,0.484876113023347,0.6301923232796032,-3.331028395669866,-1.7480191815899715,-5.176388713148517,2.6635548975934453,3.832787571688649,-1.6408603938843092,12,0.0147009389474987,-0.7063491940498352,-0.3410969376564026,-1.1514363288879397,0.1124335005879402,-0.3029587566852569,-0.4778424799442292,0.4,-0.3824,-0.3,0.3997807401549152,-0.3820029497805305,-0.299279554776899,0.0063514741156936,0.0334519406909321,0.0174878448182519,0.0517640469176188,0.0267166564706729,0.0382098617317278,0.0162824877709286,0.000851331354959,0.4840975800967726,0.6351474115693616,3.345194069093218,1.7487844818251996,-5.176404691761889,-2.671665647067298,3.8209861731727854,1.6282487770928673,0.7640044651937689
13,0.0186206810176372,0.6899238228797913,0.3323628306388855,-1.178256869316101,-0.0985844954848289,-0.2835835814476013,0.4708842933177948,0.4,0.3726,-0.3,0.3997774391751863,0.3720844748162321,-0.2993478771318797,0.0056859199256387,0.0301127663641266,0.0233090412706634,0.048611155495851,0.0305235649078171,0.0363155743516936,0.0136628140412102,0.000860560149534,0.5045721550175699,0.5685919925638762,-3.011276636412661,-2.3309041270663493,-4.861115549585111,3.052356490781713,3.63155743516937,-1.3662814041210265,13,0.0181898549199104,-0.6890267729759216,-0.3335729837417603,-1.1780906915664675,0.0999674871563911,-0.2835702300071717,-0.4691474139690399,0.4,-0.3726,-0.3,0.3997771589159445,-0.3720849525513464,-0.299346889790288,0.0057169804157141,0.0302020483723264,0.0232923029599084,0.0487712561245452,0.0305052362902247,0.0363768763784401,0.0134653012468078,0.000861095214908,0.5045445725482978,0.5716980415714158,3.0202048372326464,2.329230295990848,-4.877125612454525,-3.050523629022476,3.637687637844012,1.3465301246807824,0.7441694273682863
14,0.0186206810176372,0.6899238228797913,0.3323628306388855,-1.178256869316101,-0.0985844954848289,-0.2835835814476013,0.4708842933177948,0.4,0.3628,-0.3,0.3994638480874082,0.3620795324037038,-0.2987285245105376,0.0088259114029353,0.0453295502692515,0.0340751493082795,0.073522982379971,0.0432092939384332,0.0516630760289825,0.0190076064317524,0.0015566574289137,0.7739106145874075,0.8825911402935326,-4.5329550269251575,-3.407514930827955,-7.352298237997096,4.320929393843324,5.166307602898259,-1.9007606431752408,14,0.0210524126887321,-0.6728972792625427,-0.3236090838909149,-1.203200340270996,0.0857168436050415,-0.2647489011287689,-0.4615599811077118,0.4,-0.3628,-0.3,0.3997905489384886,-0.3622898709296825,-0.299338774553919,0.0038383343759194,0.0301830774581736,0.024580585470208,0.0458818421552773,0.0301435128650461,0.0349225654755481,0.015265681438845,0.0008609997131801,0.5063322070222966,0.3838334375919454,3.0183077458173617,2.4580585470208014,-4.58818421552774,-3.014351286504618,3.4922565475548164,1.526568143884507,0.7243697340613615
15,0.0243066009134054,0.6598110795021057,0.3196869790554046,-1.203202486038208,-0.0811893939971923,-0.2651418149471283,0.466474711894989,0.4,0.353,-0.3,0.3995511582386077,0.3523904862453638,-0.2987985661848896,0.0021159534130618,0.0329842997807927,0.0315844127590178,0.0684508196587294,0.0382729746493974,0.0493071548768157,0.0267214841761297,0.0014200032239227,0.7764276479974797,0.2115953413061846,-3.298429978079278,-3.1584412759017777,-6.845081965872943,3.8272974649397473,4.930715487681575,-2.67214841761298,15,0.023906834423542,-0.6588247418403625,-0.3102806806564331,-1.2268619537353516,0.0694622471928596,-0.2471933513879776,-0.455682098865509,0.4,-0.353,-0.3,0.3997999932934196,-0.352470544800302,-0.2993326046448799,0.001875332104696,0.0301497422878204,0.0256292845447983,0.0429681934000052,0.0302566919247296,0.03368278160278,0.0165975890121173,0.0008750668838439,0.5243596089360949,0.1875332104696015,3.014974228782044,2.5629284544798328,-4.296819340000519,-3.025669192472961,3.3682781602780008,1.6597589012117333,0.7048612772756923
16,0.0243066009134054,0.6598110795021057,0.3090537786483764,-1.2268680334091189,-0.068060927093029,-0.2472680062055587,0.4572214782238006,0.4,0.3432,-0.3,0.3995388403681956,0.3424516541453785,-0.2986957291144837,0.0029676727039751,0.0453260994599253,0.0376992809515077,0.0648584110708647,0.0423961259367839,0.0476638024515025,0.0235655111319326,0.0015728357406101,0.8116267394731835,0.2967672703975117,-4.532609945992537,-3.769928095150775,-6.485841107086472,4.239612593678393,4.766380245150253,-2.356551113193264,16,0.0248907469213008,-0.6427142024040222,-0.2990284860134125,-1.2490822076797483,0.0555733293294906,-0.2298263311386108,-0.4462943077087402,0.4,-0.3432,-0.3,0.3998139638328188,-0.3426646087739952,-0.2993209964003634,0.0001471753175672,0.0302877094729602,0.0266899219475569,0.0401008464117254,0.02986770080231,0.0321615380742385,0.0183273520069769,0.0008844767428835,0.5366335577780887,0.0147175317567262,3.028770947296021,2.668992194755693,-4.010084641172541,-2.9867700802310035,3.2161538074238534,1.832735200697699,0.6851166034834566
17,0.0264225546270608,0.6268267631530762,0.2881025671958923,-1.2716532945632937,-0.0429164208471775,-0.2158346623182296,0.4397532343864441,0.4,0.3334,-0.3,0.3998060232095753,0.3327871887147088,-0.2992421685434111,0.0025639229038371,0.0301660544126157,0.0291703509196645,0.0357208982526571,0.0309534122087207,0.0327731771834849,0.0223130726524268,0.0009937168526292,0.6049562667916462,-0.2563922903837162,-3.0166054412615777,-2.9170350919664605,-3.572089825265722,3.095341220872073,3.2773177183485,-2.2313072652426857,17,0.0257821660488843,-0.6286749839782715,-0.2846513986587524,-1.2698301076889038,0.0392055548727512,-0.2135105729103088,-0.4390845000743866,0.4,-0.3334,-0.3,0.3998264400304797,-0.3328364363101718,-0.2993072630257425,0.0015010543069035,0.0303107264692656,0.0277616867689418,0.0373045952118631,0.0296385266057135,0.0307071482690904,0.019793955698816,0.0009097316148272,0.5666524625734723,-0.1501054306903543,3.03107264692657,2.776168676894184,-3.730459521186303,-2.9638526605713507,3.0707148269090494,1.9793955698816088,0.665623628520954
18,0.0264225546270608,0.6268267631530762,0.2881025671958923,-1.2716532945632937,-0.0429164208471775,-0.2158346623182296,0.4397532343864441,0.4,0.3236,-0.3,0.3995740363145119,0.3227640929129633,-0.2985814614701075,0.0030072832863167,0.0454033241044583,0.0424320919315726,0.0549573074977789,0.0431186987852368,0.0456663428481124,0.0305086115473415,0.0017007166960732,0.8882064327814874,-0.3007283286316712,-4.540332410445839,-4.243209193157264,-5.4957307497778825,4.311869878523689,4.566634284811247,-3.050861154734151,18,0.0250379219651222,-0.6124265193939209,-0.2846513986587524,-1.2698301076889038,0.0392055548727512,-0.2135105729103088,-0.4390845000743866,0.4,-0.3236,-0.3,0.3996366210114332,-0.3229695445685057,-0.2987788688601537,0.002869902909605,0.0337200424696884,0.036094853100216,0.0556415291030594,0.0375209067682414,0.0430628199297818,0.0332592020329194,0.0014215061030944,0.831794476255368,-0.2869902909605079,3.372004246968843,3.6094853100216095,-5.564152910305934,-3.752090676824148,4.306281992978186,3.3259202032919406,0.645733670689063
19,0.023858631029725,0.5966607332229614,0.2713544964790344,-1.2917264699935913,-0.0256648007780313,-0.1996041983366012,0.4336559772491455,0.4,0.3137999999999999,-0.3,0.3996443831550574,0.3130785674383545,-0.298723851968606,0.0040169675044142,0.0330073503605782,0.0381508241730228,0.0491698056980478,0.0385965810245949,0.0423313074228122,0.0381245783440967,0.001508470112213,0.9206381323065784,-0.4016967504414221,-3.300735036057825,-3.8150824173022833,-4.916980569804789,3.859658102459491,4.233130742281226,-3.812457834409676,19,0.0242811124771833,-0.5983642339706421,-0.2568897008895874,-1.307134747505188,0.0095670279115438,-0.1828034222126007,-0.419290542602539,0.4,-0.3137999999999999,-0.3,0.399840601427169,-0.3132041608840269,-0.2992912297077609,0.0043177465353202,0.0305542991342058,0.0295867732806818,0.0319727164833194,0.029558047551844,0.0280048739693004,0.0226715370635401,0.0009395677113997,0.6048453461655754,-0.4317746535320288,3.055429913420584,2.9586773280681826,-3.1972716483319346,-2.9558047551844093,2.800487396930044,2.267153706354017,0.6262830160670454
