Iteration,q_l_0,q_l_1,q_l_2,q_l_3,q_l_4,q_l_5,q_l_6,translation_goal_l_0,translation_goal_l_1,translation_goal_l_2,translation_l_0,translation_l_1,translation_l_2,ecart_q_l_0,ecart_q_l_1,ecart_q_l_2,ecart_q_l_3,ecart_q_l_4,ecart_q_l_5,ecart_q_l_6,Ecart_pos_l,Ecart_rot_l,velocity_l_0,velocity_l_1,velocity_l_2,velocity_l_3,velocity_l_4,velocity_l_5,velocity_l_6
13,0.018620681017637256,0.6899238228797913,0.3323628306388855,-1.178256869316101,-0.09858449548482896,-0.2835835814476013,0.4708842933177948,0.4,0.3726,-0.30000000000000004,0.3997774391751863,0.37208447481623214,-0.29934787713187977,0.005685919925638761,0.03011276636412663,0.023309041270663466,0.048611155495851044,0.03052356490781713,0.03631557435169369,0.01366281404121028,0.0008605601495340373,0.5045721550175699,0.5685919925638762,-3.011276636412661,-2.3309041270663493,-4.861115549585111,3.052356490781713,3.6315574351693702,-1.3662814041210265
14,0.018620681017637256,0.6899238228797913,0.3323628306388855,-1.178256869316101,-0.09858449548482896,-0.2835835814476013,0.4708842933177948,0.4,0.3628,-0.30000000000000004,0.3994638480874082,0.36207953240370383,-0.29872852451053766,0.008825911402935326,0.04532955026925156,0.03407514930827954,0.07352298237997101,0.04320929393843324,0.051663076028982596,0.019007606431752422,0.0015566574289137178,0.7739106145874075,0.8825911402935326,-4.5329550269251575,-3.407514930827955,-7.352298237997096,4.320929393843324,5.166307602898259,-1.9007606431752408
15,0.02430660091340542,0.6598110795021057,0.31968697905540466,-1.203202486038208,-0.08118939399719238,-0.2651418149471283,0.466474711894989,0.4,0.353,-0.30000000000000004,0.3995511582386077,0.35239048624536384,-0.29879856618488965,0.0021159534130618454,0.03298429978079276,0.0315844127590178,0.06845081965872946,0.038272974649397475,0.04930715487681575,0.026721484176129795,0.001420003223922792,0.7764276479974797,0.21159534130618468,-3.298429978079278,-3.1584412759017777,-6.845081965872943,3.8272974649397473,4.930715487681575,-2.6721484176129797
16,0.02430660091340542,0.6598110795021057,0.30905377864837646,-1.2268680334091187,-0.06806092709302902,-0.24726800620555878,0.45722147822380066,0.4,0.3432,-0.30000000000000004,0.3995388403681956,0.34245165414537854,-0.2986957291144837,0.002967672703975119,0.045326099459925384,0.03769928095150776,0.06485841107086476,0.04239612593678393,0.047663802451502535,0.023565511131932615,0.0015728357406101464,0.8116267394731835,0.2967672703975117,-4.532609945992537,-3.769928095150775,-6.485841107086472,4.239612593678393,4.766380245150253,-2.3565511131932637
17,0.02642255462706089,0.6268267631530762,0.28810256719589233,-1.2716532945632937,-0.042916420847177505,-0.21583466231822968,0.4397532343864441,0.4,0.33340000000000003,-0.30000000000000004,0.3998060232095753,0.33278718871470886,-0.2992421685434111,0.002563922903837161,0.030166054412615773,0.02917035091966458,0.03572089825265712,0.03095341220872073,0.03277317718348499,0.02231307265242688,0.0009937168526292447,0.6049562667916462,-0.2563922903837162,-3.0166054412615777,-2.9170350919664605,-3.572089825265722,3.095341220872073,3.2773177183485,-2.2313072652426857
18,0.02642255462706089,0.6268267631530762,0.28810256719589233,-1.2716532945632937,-0.042916420847177505,-0.21583466231822968,0.4397532343864441,0.4,0.3236,-0.30000000000000004,0.3995740363145119,0.3227640929129633,-0.29858146147010756,0.003007283286316713,0.045403324104458354,0.04243209193157263,0.05495730749777894,0.04311869878523689,0.04566634284811247,0.030508611547341524,0.001700716696073255,0.8882064327814874,-0.30072832863167126,-4.5403324104458385,-4.243209193157264,-5.4957307497778825,4.311869878523689,4.566634284811247,-3.050861154734151
19,0.023858631029725078,0.5966607332229614,0.2713544964790344,-1.2917264699935913,-0.02566480077803135,-0.19960419833660126,0.4336559772491455,0.4,0.31379999999999997,-0.30000000000000004,0.39964438315505746,0.3130785674383545,-0.29872385196860607,0.004016967504414222,0.033007350360578225,0.038150824173022846,0.04916980569804785,0.038596581024594914,0.04233130742281227,0.03812457834409677,0.0015084701122130238,0.9206381323065784,-0.40169675044142217,-3.300735036057825,-3.8150824173022833,-4.916980569804789,3.859658102459491,4.233130742281226,-3.8124578344096762
20,0.02341527119278908,0.5814234614372253,0.24567048251628876,-1.3266105651855469,0.00020227793720550835,-0.17016832530498505,0.40924462676048284,0.4,0.304,-0.30000000000000004,0.39982170247472065,0.30329906445712246,-0.2992265468042526,0.006922800632946011,0.030950439353805592,0.03148286572537212,0.02678607480471773,0.03159861605299936,0.027911769225341526,0.02668252568157453,0.0010589289347268398,0.6872953182360106,-0.6922800632946012,-3.0950439353805566,-3.1482865725372116,-2.6786074804717805,3.1598616052999358,2.7911769225341536,-2.668252568157456
21,0.019841663539409637,0.5636534094810486,0.2332036793231964,-1.3408962488174438,0.012931779958307743,-0.15727289021015167,0.39553138613700867,0.4,0.2942,-0.30000000000000004,0.3998282083183909,0.2934861696296081,-0.2992043987535196,0.007512450722215316,0.030833101256415363,0.032269965639752735,0.02519392674335963,0.031151497470775114,0.02678459939934877,0.028228573741312213,0.0010826114367422663,0.7230838303697169,-0.7512450722215315,-3.0833101256415363,-3.226996563975273,-2.519392674335956,3.1151497470775116,2.6784599399348763,-2.822857374131219
22,0.01649247109889984,0.5504730343818665,0.2141876220703125,-1.3533966541290283,0.03180089220404625,-0.14225655794143677,0.3825621008872986,0.4,0.2844,-0.30000000000000004,0.3998543080021861,0.28370854398987977,-0.29926954246666604,0.00798588748249759,0.03126157369196947,0.031579683932679736,0.0238931803152187,0.02971031765386334,0.023465306515936354,0.026549228122277058,0.0010163197233955409,0.7074964257188299,-0.7985887482497589,-3.126157369196952,-3.157968393267975,-2.389318031521875,2.9710317653863343,2.3465306515936355,-2.6549228122277055
