Iteration,q_r_0,q_r_1,q_r_2,q_r_3,q_r_4,q_r_5,q_r_6,translation_goal_r_0,translation_goal_r_1,translation_goal_r_2,translation_r_0,translation_r_1,translation_r_2,ecart_q_r_0,ecart_q_r_1,ecart_q_r_2,ecart_q_r_3,ecart_q_r_4,ecart_q_r_5,ecart_q_r_6,Ecart_pos_r,Ecart_rot_r,velocity_r_0,velocity_r_1,velocity_r_2,velocity_r_3,velocity_r_4,velocity_r_5,velocity_r_6
10,0.007220633327960968,-0.7406899929046631,-0.35705113410949707,-1.0960549116134644,0.1402742862701416,-0.3458903729915619,-0.4933207929134369,0.4,-0.402,-0.30000000000000004,0.39973517807669884,-0.40158163617588477,-0.2992327502042514,0.0074803051850466235,0.034340787870285494,0.015954191577399468,0.05538138413392413,0.02784078695016501,0.04293161199822615,0.015478309200204932,0.0009131435754938189,0.4880015893842824,0.7480305185046624,3.434078787028546,1.5954191577399446,-5.538138413392402,-2.784078695016501,4.293161199822614,1.5478309200204923
11,0.010558766312897205,-0.7230935096740723,-0.3492964804172516,-1.1234705448150635,0.12752844393253326,-0.3250971734523774,-0.48449045419692993,0.4,-0.3922,-0.30000000000000004,0.39974685290979306,-0.3917967236476132,-0.2992555591937401,0.007631087972583578,0.034066760822004105,0.015723484262580356,0.05462019035894827,0.02756095784287671,0.04152692965819915,0.015343039373621359,0.0008836896399186933,0.49135314028706034,0.7631087972583579,3.4066760822004127,1.5723484262580338,-5.462019035894827,-2.7560957842876714,4.152692965819915,1.534303937362136
12,0.014700938947498798,-0.7063491940498352,-0.34109693765640264,-1.1514363288879395,0.11243350058794022,-0.30295875668525696,-0.4778424799442292,0.4,-0.3824,-0.30000000000000004,0.39978074015491527,-0.3820029497805305,-0.29927955477689905,0.006351474115693617,0.03345194069093216,0.017487844818251996,0.05176404691761882,0.026716656470672978,0.03820986173172786,0.016282487770928666,0.0008513313549590535,0.4840975800967726,0.6351474115693616,3.345194069093218,1.7487844818251996,-5.176404691761889,-2.671665647067298,3.8209861731727868,1.6282487770928673
13,0.01818985491991043,-0.6890267729759216,-0.3335729837417603,-1.1780906915664675,0.09996748715639116,-0.2835702300071717,-0.4691474139690399,0.4,-0.3726,-0.30000000000000004,0.39977715891594456,-0.37208495255134644,-0.29934688979028806,0.0057169804157141575,0.03020204837232643,0.023292302959908473,0.04877125612454525,0.030505236290224766,0.036376876378440115,0.013465301246807837,0.0008610952149080681,0.5045445725482978,0.5716980415714158,3.0202048372326464,2.3292302959908473,-4.877125612454525,-3.050523629022476,3.637687637844012,1.3465301246807824
14,0.021052412688732147,-0.6728972792625427,-0.3236090838909149,-1.203200340270996,0.0857168436050415,-0.2647489011287689,-0.4615599811077118,0.4,-0.3628,-0.30000000000000004,0.39979054893848864,-0.3622898709296825,-0.299338774553919,0.003838334375919454,0.030183077458173613,0.024580585470208027,0.04588184215527735,0.030143512865046178,0.03492256547554817,0.015265681438845047,0.0008609997131801623,0.5063322070222966,0.3838334375919454,3.0183077458173617,2.4580585470208014,-4.58818421552774,-3.014351286504618,3.4922565475548164,1.5265681438845067
15,0.023906834423542023,-0.6588247418403625,-0.3102806806564331,-1.2268619537353516,0.06946224719285965,-0.24719335138797763,-0.45568209886550903,0.4,-0.353,-0.30000000000000004,0.39979999329341964,-0.352470544800302,-0.29933260464487993,0.0018753321046960161,0.030149742287820414,0.025629284544798348,0.04296819340000524,0.030256691924729608,0.033682781602780015,0.01659758901211733,0.0008750668838439013,0.5243596089360949,0.18753321046960156,3.014974228782044,2.5629284544798328,-4.296819340000519,-3.025669192472961,3.3682781602780008,1.6597589012117333
16,0.024890746921300888,-0.6427142024040222,-0.2990284860134125,-1.2490822076797485,0.05557332932949066,-0.22982633113861084,-0.44629430770874023,0.4,-0.3432,-0.30000000000000004,0.3998139638328188,-0.3426646087739952,-0.29932099640036347,0.00014717531756726354,0.030287709472960223,0.026689921947556927,0.0401008464117254,0.029867700802310035,0.03216153807423855,0.018327352006976994,0.0008844767428835243,0.5366335577780887,0.014717531756726248,3.028770947296021,2.668992194755693,-4.010084641172541,-2.9867700802310035,3.2161538074238534,1.8327352006976987
17,0.025782166048884395,-0.6286749839782715,-0.28465139865875244,-1.2698301076889038,0.039205554872751236,-0.21351057291030884,-0.4390845000743866,0.4,-0.33340000000000003,-0.30000000000000004,0.3998264400304797,-0.3328364363101718,-0.29930726302574256,0.0015010543069035424,0.030310726469265692,0.027761686768941862,0.037304595211863134,0.029638526605713506,0.03070714826909049,0.01979395569881609,0.0009097316148272139,0.5666524625734723,-0.1501054306903543,3.03107264692657,2.7761686768941836,-3.7304595211863028,-2.9638526605713507,3.0707148269090494,1.9793955698816086
18,0.025037921965122226,-0.6124265193939209,-0.28465139865875244,-1.2698301076889038,0.039205554872751236,-0.21351057291030884,-0.4390845000743866,0.4,-0.3236,-0.30000000000000004,0.39963662101143327,-0.3229695445685057,-0.29877886886015376,0.0028699029096050793,0.033720042469688405,0.036094853100216095,0.05564152910305942,0.037520906768241484,0.043062819929781865,0.03325920203291943,0.0014215061030944515,0.831794476255368,-0.2869902909605079,3.372004246968843,3.6094853100216095,-5.564152910305934,-3.752090676824148,4.306281992978186,3.3259202032919406
19,0.024281112477183342,-0.5983642339706421,-0.2568897008895874,-1.307134747505188,0.009567027911543846,-0.1828034222126007,-0.41929054260253906,0.4,-0.31379999999999997,-0.30000000000000004,0.399840601427169,-0.3132041608840269,-0.2992912297077609,0.004317746535320289,0.03055429913420582,0.029586773280681822,0.03197271648331945,0.029558047551844095,0.02800487396930043,0.022671537063540192,0.000939567711399708,0.6048453461655754,-0.4317746535320288,3.055429913420584,2.9586773280681826,-3.1972716483319346,-2.9558047551844093,2.800487396930044,2.2671537063540175
