Iteration,q_l_0,q_l_1,q_l_2,q_l_3,q_l_4,q_l_5,q_l_6,translation_goal_l_0,translation_goal_l_1,translation_goal_l_2,translation_l_0,translation_l_1,translation_l_2,ecart_q_l_0,ecart_q_l_1,ecart_q_l_2,ecart_q_l_3,ecart_q_l_4,ecart_q_l_5,ecart_q_l_6,Ecart_pos_l,Ecart_rot_l,velocity_l_0,velocity_l_1,velocity_l_2,velocity_l_3,velocity_l_4,velocity_l_5,velocity_l_6
0,-0.11829020082950592,0.8891221284866334,0.3297334611415863,-0.7641293406486511,-0.24935096502304077,-0.5427387952804565,0.5010762810707092,0.4,0.5,-0.30000000000000004,0.39999989443562645,0.5000001065063585,-0.29999980795789316,0.0013804751640170004,0.00017743859528562833,0.0008683546277589715,0.0010394389824396333,0.00021804706141526076,0.00022735880387469987,0.0003115537031557203,2.4365469867800915e-07,1.839084711718897e-05,-0.27609503280340053,0.035487719057122814,-0.17367092555179447,0.207887796487928,-0.04360941228305172,-0.04547176077494674,-0.06231074063115053
1,-0.11830054968595505,0.8891770243644714,0.3297393918037415,-0.7641962170600891,-0.2493727803230286,-0.5427863001823425,0.5011201500892639,0.4,0.5,-0.29000000000000004,0.39989080791526255,0.49982390100207247,-0.289831159935463,0.029299579814976898,0.005523664795362038,0.02445394950035612,0.05418351081777839,0.0002811518803294555,0.03570558493511822,0.01848145033088988,0.0002672839984609452,0.01944880957029227,5.8599159629953785,1.1047329590724078,4.890789900071227,-10.83670216355568,0.05623037606589241,7.141116987023635,3.696290066177981
2,-0.11967067420482635,0.8892995715141297,0.328865110874176,-0.7630898952484131,-0.24956901371479034,-0.5429661273956299,0.5007647275924683,0.4,0.5,-0.28,0.39955727752499337,0.49926344291030633,-0.2793039615742724,0.061411298112682505,0.010806190188752618,0.05070655037570776,0.11070538768981153,0.0009702697305006835,0.07183749160641023,0.037690350684536855,0.0011058883426202748,0.08051170421879306,12.2822596225365,2.1612380377505307,10.141310075141549,-22.1410775379623,0.19405394610013546,14.367498321282044,7.538070136907369
3,-0.058259375393390656,0.9001057744026185,0.3795716464519501,-0.8737952709197998,-0.24909162521362305,-0.5070807337760925,0.519601583480835,0.4,0.5,-0.27,0.39976736536046625,0.4998696430411817,-0.269854002226239,0.017897193736555017,0.005164326167888866,0.022761699298424642,0.03883522820637453,0.0068094964514501255,0.06552886757517651,0.030285226633551043,0.0003040183582722156,0.044851649367387836,3.5794387473110034,1.0328652335777708,4.552339859684929,-7.767045641274896,-1.3618992902900278,13.105773515035306,6.057045326710203
4,-0.058259375393390656,0.9001057744026185,0.3795716464519501,-0.8737952709197998,-0.24859873950481415,-0.4711286425590515,0.538455069065094,0.4,0.5,-0.26,0.3997009102625351,0.4993569833456511,-0.2596417107214539,0.042244926719535246,0.013579037986244047,0.04088314637031171,0.08414704495842074,0.0063273441363707605,0.06022012176085223,0.03237063441532784,0.0007945415633860541,0.06774062600862862,8.448985343907049,2.7158075972488196,8.17662927406234,-16.829408991684137,-1.2654688272741472,12.044024352170442,6.474126883065577
5,-0.04036218300461769,0.9052700996398926,0.40233334898948675,-0.9126304984092714,-0.25590112805366516,-0.4415518641471863,0.5498868227005005,0.4,0.5,-0.25,0.3996762770820912,0.4993424771007067,-0.24967889170251514,0.04176490555550543,0.013454958580779275,0.041161863202069215,0.08454935614888526,0.007377073324975891,0.06074479270073818,0.03212487830468502,0.0008001521289030366,0.07023213991720922,8.352981111101085,2.690991716155862,8.232372640413848,-16.909871229777046,-1.475414664995181,12.148958540147632,6.424975660937014
6,-0.016014449298381805,0.9136847853660583,0.4204548001289368,-0.957942306995392,-0.25492608547210693,-0.4109085202217102,0.5708256959915162,0.4,0.5,-0.24000000000000002,0.39971709184299353,0.49938199055631355,-0.23975219337502457,0.03570475362673219,0.01473675323706014,0.03914741636168223,0.07535521361747943,0.009783043266831493,0.056702995117567045,0.030808210996173147,0.0007234506349213945,0.0669266800204582,7.140950725346438,2.9473506474120184,7.829483272336446,-15.071042723495905,-1.9566086533662967,11.340599023513407,6.161642199234624
7,0.01969030499458313,0.9284215569496155,0.4434952139854431,-0.9971798658370972,-0.26327821612358093,-0.3808070719242096,0.5820116996765138,0.4,0.5,-0.23,0.39955996550209344,0.4995531178446723,-0.22982896592217378,0.015828029616828616,0.007707795976612419,0.035746369671992295,0.07038684167082421,0.007937901332931319,0.05334431683322255,0.03451269813021063,0.0006500666703316499,0.05256979788720173,3.165605923365723,1.5415591953224856,7.149273934398459,-14.077368334164836,-1.5875802665862615,10.66886336664451,6.902539626042133
8,0.01969030499458313,0.9284215569496155,0.4596022069454193,-1.0332975387573242,-0.26470911502838135,-0.35420551896095276,0.6016339063644409,0.4,0.5,-0.22,0.39972389055416746,0.49942210873884946,-0.2198429770249252,0.028881181517907792,0.015979515524598087,0.03701249874338808,0.06650143668297126,0.013196420782877083,0.05318545836186639,0.029525595170339036,0.0006594322940935423,0.06472986427581873,5.776236303581558,3.1959031049196223,7.402499748677613,-13.300287336594232,-2.639284156575411,10.637091672373279,5.905119034067801
9,0.035518333315849304,0.9361293315887451,0.4792415797710419,-1.0675667524337769,-0.27121612429618835,-0.327462762594223,0.6165243983268738,0.4,0.5,-0.21,0.39971463785487693,0.4994479680834127,-0.20988505400918572,0.025090221788062583,0.016593460306285612,0.03531466992783744,0.06258636525244143,0.014648132715967821,0.0519548648520794,0.02887386088933286,0.0006319678564647019,0.06269076892164094,5.018044357612516,3.318692061257121,7.062933985567492,-12.517273050488297,-2.9296265431935646,10.390972970415882,5.77477217786656
