Iteration,q_l_0,q_l_1,q_l_2,q_l_3,q_l_4,q_l_5,q_l_6,translation_goal_l_0,translation_goal_l_1,translation_goal_l_2,translation_l_0,translation_l_1,translation_l_2,ecart_q_l_0,ecart_q_l_1,ecart_q_l_2,ecart_q_l_3,ecart_q_l_4,ecart_q_l_5,ecart_q_l_6,Ecart_pos_l,Ecart_rot_l,velocity_l_0,velocity_l_1,velocity_l_2,velocity_l_3,velocity_l_4,velocity_l_5,velocity_l_6,Iteration,q_r_0,q_r_1,q_r_2,q_r_3,q_r_4,q_r_5,q_r_6,translation_goal_r_0,translation_goal_r_1,translation_goal_r_2,translation_r_0,translation_r_1,translation_r_2,ecart_q_r_0,ecart_q_r_1,ecart_q_r_2,ecart_q_r_3,ecart_q_r_4,ecart_q_r_5,ecart_q_r_6,Ecart_pos_r,Ecart_rot_r,velocity_r_0,velocity_r_1,velocity_r_2,velocity_r_3,velocity_r_4,velocity_r_5,velocity_r_6
10,0.0485714860260486,0.9444010853767396,0.4966146945953369,-1.0997989177703855,-0.277905523777008,-0.3010200560092926,0.6311594843864441,0.4,0.5,-0.1999999999999999,0.3997196738887221,0.4994634497564492,-0.1999101612665146,0.0227516973622421,0.0172175417534601,0.0350969796380217,0.0589165448178299,0.0162790087645582,0.0502282924551271,0.0287381015444349,0.0006119966425993,0.0624706834625336,4.5503394724484325,3.443508350692031,7.019395927604366,-11.78330896356598,-3.2558017529116445,10.045658491025431,5.747620308886984,10,0.0485793687403202,-0.9444096684455872,-0.4966045320034027,-1.099798321723938,0.2778906524181366,-0.3010247945785522,-0.6311768293380737,0.4,-0.5,-0.1999999999999999,0.399719687848328,-0.4994634353277915,-0.1999101535666067,0.0227529102736767,0.0172178808542605,0.0350983006705591,0.0589164755671371,0.0162793994240355,0.0502280880352158,0.0287375541796951,0.0006120040289333,0.062472306368196,4.550582054735353,-3.4435761708521064,-7.019660134111834,-11.783295113427435,3.2558798848071016,10.045617607043178,-5.747510835939026
11,0.0606085546314716,0.9527227878570556,0.5145562291145325,-1.1301530599594116,-0.2858642637729645,-0.2755078971385956,0.6453982591629028,0.4,0.5,-0.1899999999999999,0.3997144972137377,0.4994848604115836,-0.1899377827403837,0.0197815846898073,0.0178747079407023,0.0340643697061705,0.0554228297977006,0.0177111698313612,0.0488837003575803,0.0284989735919533,0.0005922428757794,0.0612292481860468,3.9563169379614687,3.5749415881404683,6.812873941234111,-11.08456595954014,-3.542233966272248,9.77674007151608,5.699794718390665,11,0.0605705566704273,-0.952729642391205,-0.5145280361175537,-1.1301515102386477,0.285875529050827,-0.2754969894886017,-0.6453830599784851,0.4,-0.5,-0.1899999999999999,0.3997148078167157,-0.4994848668816565,-0.1899375402891996,0.0198112293999467,0.0178624104304213,0.0340960422076358,0.0554227829614217,0.0177093706992422,0.0488753720282085,0.0285048313424099,0.0005921131027886,0.0612395116312534,3.962245879989343,-3.572482086084273,-6.819208441527165,-11.08455659228435,3.541874139848449,9.775074405641703,-5.700966268482001
12,0.0713231861591339,0.9616186022758484,0.5317116975784302,-1.1587154865264893,-0.294184535741806,-0.2507917582988739,0.6598975658416749,0.4,0.5,-0.1799999999999999,0.3997090427857478,0.4995061747043918,-0.1799612466884569,0.016974552551284,0.0185446939614214,0.0330837127350083,0.0520873352949322,0.0190781380160987,0.0475748022302927,0.0283521739243786,0.0005744748404094,0.0600116691182107,3.394910510256805,3.708938792284296,6.616742547001671,-10.417467058986464,-3.815627603219749,9.514960446058543,5.670434784875726,12,0.0713322758674621,-0.9616275429725648,-0.5317028164863586,-1.158714771270752,0.2941700518131256,-0.2507967054843902,-0.6599143743515015,0.4,-0.5,-0.1799999999999999,0.3997090539933026,-0.4995061619549467,-0.1799612398612431,0.0169757616590699,0.0185448622140418,0.0330851633186248,0.0520873512018369,0.0190785999175602,0.0475745846078454,0.02835160028112,0.0005744805844514,0.0600131477374282,3.395152331813991,-3.708972442808361,-6.617032663724966,-10.417470240367397,3.815719983512051,9.514916921569096,-5.670320056224018
13,0.0803901404142379,0.970597505569458,0.5486205816268921,-1.1855758428573608,-0.3035754263401031,-0.2266241908073425,0.6738972067832947,0.4,0.5,-0.1699999999999999,0.3997020353164316,0.4995280051087551,-0.1699820243185674,0.0141642769555642,0.0192633941143424,0.0319673155453662,0.0488834832520377,0.0203596534335016,0.0463205688020048,0.0283050885932953,0.0005584668791774,0.0587286761420215,2.83285539111284,3.852678822868475,6.393463109073259,-9.776696650407551,-4.071930686700334,9.264113760400962,5.661017718659081,13,0.0803817883133888,-0.9705920815467834,-0.5486240983009338,-1.185574293136597,0.3035849034786224,-0.226621612906456,-0.6738879084587097,0.4,-0.5,-0.1699999999999999,0.3997020372436576,-0.4995280116870297,-0.1699820227950953,0.014165179460911,0.0192626093560699,0.0319676739764432,0.0488842913573539,0.0203592078022203,0.0463209523294607,0.0283054050331196,0.0005584603402604,0.0587288011536905,2.8330358921822145,-3.852521871213984,-6.393534795288649,-9.776858271470768,4.071841560444075,9.26419046589215,-5.661081006623918
14,0.0882977396249771,0.980163276195526,0.5647954344749451,-1.2108027935028076,-0.3132626712322235,-0.2032169550657272,0.6882497668266296,0.4,0.5,-0.16,0.399694620708225,0.4995496667991103,-0.1599997983047791,0.0114400219397952,0.0200317186816694,0.0308078292385972,0.0457920735814827,0.021572468798192,0.04508753838479,0.0283317703930942,0.0005441107831586,0.0574855463697979,2.288004387959042,4.006343736333868,6.16156584771946,-9.15841471629654,-4.3144937596384105,9.017507676958008,5.666354078618841,14,0.088308036327362,-0.9801723957061768,-0.5647879838943481,-1.2108020782470703,0.3132486641407013,-0.2032221257686615,-0.6882659792900085,0.4,-0.5,-0.16,0.3996946296828096,-0.4995496560212884,-0.1599997923477617,0.011441150300945,0.0200317513381574,0.0308093376969559,0.0457920554410939,0.0215729995924071,0.0450873317224246,0.0283311599795642,0.0005441146688908,0.0574866405610709,2.2882300601890058,-4.006350267631505,-6.161867539391195,-9.1584110882188,4.314599918481436,9.01746634448492,-5.666231995912852
15,0.094554416835308,0.9898608922958374,0.5805879235267639,-1.2344592809677126,-0.3239350914955139,-0.180303618311882,0.702202320098877,0.4,0.5,-0.15,0.3996864869612138,0.4995716832908124,-0.1500150964037419,0.008735056620902,0.0208560347436252,0.0295150625438814,0.0427925980829142,0.022686000217744,0.0438709469973068,0.0284609521069164,0.0005310117986111,0.0562511216391857,1.7470113241804162,4.171206948725049,5.9030125087762855,-8.558519616582847,-4.537200043548815,8.774189399461376,5.692190421383288,15,0.0945469662547111,-0.9898546934127808,-0.5805917978286744,-1.234458565711975,0.3239441215991974,-0.1803006678819656,-0.7021933197975159,0.4,-0.5,-0.15,0.3996864818495301,-0.499571689772203,-0.1500150994823112,0.0087343794618467,0.0208560312606851,0.0295141658333935,0.0427925646364595,0.0226856843741975,0.0438710818671972,0.0284613607257653,0.0005310096762541,0.0562506031936204,1.7468758923693584,-4.171206252137023,-5.90283316667871,-8.558512927291895,4.537136874839511,8.774216373439446,-5.692272145153054
16,0.0997377634048462,1.000195026397705,0.5956032872200013,-1.2565948963165283,-0.3239350914955139,-0.180303618311882,0.702202320098877,0.4,0.5,-0.14,0.3994568544164738,0.499483434316911,-0.1400043127512724,0.008287313660991,0.0216276872210907,0.0291008982226007,0.0414898544431203,0.0330869410536305,0.0654912556971831,0.0435460896690976,0.0007495771005525,0.1018976789394514,1.6574627321982172,4.325537444218133,5.820179644520149,-8.297970888624063,-6.6173882107261175,13.098251139436623,8.70921793381953,16,0.0997491851449012,-1.0002042055130005,-0.5955973267555238,-1.256594181060791,0.3348216712474823,-0.158134788274765,-0.7165971398353577,0.4,-0.5,-0.14,0.3996782617400741,-0.4995934566485454,-0.1400277804186075,0.0061103746474381,0.0217426491417858,0.0281579052600724,0.0398708206687514,0.0237214171698252,0.0426471891127857,0.028659096539359,0.0005191962597804,0.0551114511415694,1.2220749294876283,-4.348529828357154,-5.63158105201448,-7.974164133750304,4.744283433965061,8.529437822557144,-5.731819307871819
17,0.1032894700765609,1.0107169151306152,0.6101030111312866,-1.2772518396377563,-0.3466210961341858,-0.1364326775074005,0.7306632995605469,0.4,0.5,-0.13,0.3996696534351692,0.4996154638501612,-0.1300382548328504,0.0035108401360992,0.0227005405067464,0.0266481143049435,0.0370143896303443,0.0246416628391559,0.0414134127817353,0.0289596129661862,0.0005083899444961,0.0540644225237682,0.7021680272198422,4.540108101349289,5.329622860988692,-7.402877926068857,-4.928332567831185,8.282682556347064,5.791922593237239,17,0.105859562754631,-1.021946907043457,-0.6101059913635254,-1.277251124382019,0.346629798412323,-0.1364295929670334,-0.7306546568870546,0.4,-0.5,-0.13,0.3997069306827797,-0.4997004598478544,-0.1300394228243233,0.003214035000881,0.0134266040489139,0.0258123233620704,0.03652040960325,0.0222529886023455,0.0400884132774553,0.0316857680926067,0.0004209133955114,0.0484524535201075,0.6428070001762018,-2.6853208097827865,-5.16246467241407,-7.304081920650038,4.450597720469116,8.017682655491067,-6.337153618521329
18,0.1080250740051269,1.0218226909637451,0.6247041821479797,-1.298084735870361,-0.3570220470428467,-0.114812359213829,0.7457484006881714,0.4,0.5,-0.12,0.3996577018655743,0.4996397548841026,-0.1200438624767356,0.0002165918251744,0.0244691890695003,0.0239650727193687,0.0326105113771244,0.0261701375301318,0.0391406175296079,0.0297600245364347,0.000498867189966,0.0532267600100811,-0.0433183650348972,4.89383781390007,4.79301454387375,-6.522102275424876,-5.234027506026363,7.828123505921592,5.952004907286965,18,0.105859562754631,-1.021946907043457,-0.6237552165985107,-1.2964650392532349,0.3585430979728699,-0.1154875978827476,-0.7452562451362611,0.4,-0.5,-0.12,0.3996611435083038,-0.4996371554063119,-0.1200463747561303,0.0009996291680043,0.0237286308702668,0.0250649832876505,0.0342121451443215,0.0254723164519672,0.0401468121207771,0.0293249767171991,0.0004986286585621,0.0531808828955815,0.1999258336008746,-4.74572617405337,-5.012996657530107,-6.842429028864302,5.09446329039345,8.029362424155437,-5.864995343439825
19,0.1068003103137016,1.0334174633026123,0.6367511153221131,-1.3142662048339844,-0.3712627589702606,-0.0950192660093307,0.7596229314804077,0.4,0.5,-0.11,0.3996524403753806,0.4996589721177468,-0.1100524901423181,0.0014710681943376,0.0248392520262541,0.023321832621786,0.0314554120636827,0.026172920167574,0.0388442266499124,0.0297909591801804,0.0004897478169223,0.0524860957790381,-0.2942136388675351,4.967850405250845,4.664366524357193,-6.291082412736544,-5.234584033514797,7.768845329982479,5.958191836036099,19,0.1068591922521591,-1.04567551612854,-0.6488202214241028,-1.330677151679993,0.3688827753067017,-0.0963411778211593,-0.7623404264450073,0.4,-0.5,-0.11,0.3998060941999251,-0.499881301853853,-0.1099969731247254,0.0005568492238482,0.0151701826253629,0.0100653525010037,0.013738981669161,0.0257977430651014,0.0385364282509302,0.0301793861687912,0.0002273716586897,0.049981095057717,0.1113698447696492,-3.034036525072606,-2.0130705002007483,-2.7477963338322,5.159548613020295,7.707285650186053,-6.035877233758238
