Iteration,q_r_0,q_r_1,q_r_2,q_r_3,q_r_4,q_r_5,q_r_6,translation_goal_r_0,translation_goal_r_1,translation_goal_r_2,translation_r_0,translation_r_1,translation_r_2,ecart_q_r_0,ecart_q_r_1,ecart_q_r_2,ecart_q_r_3,ecart_q_r_4,ecart_q_r_5,ecart_q_r_6,Ecart_pos_r,Ecart_rot_r,velocity_r_0,velocity_r_1,velocity_r_2,velocity_r_3,velocity_r_4,velocity_r_5,velocity_r_6
23,0.06303177028894424,-0.9471383690834045,-0.5151316523551941,-1.136548638343811,0.281444787979126,-0.29278841614723206,-0.6334635615348816,0.4,-0.455,-0.1,0.3990825580105701,-0.49209987195648963,-0.19828169980212212,0.017531103620058497,0.0011968282906951178,0.020247535559329788,0.05113187546560982,0.0037523378536161167,0.04235699055064457,0.016477954294336183,0.10505491285506996,1.2188280001599878,0.17531103620058497,-0.011968282906950622,-0.20247535559329755,-0.5113187546560973,0.037523378536161195,0.4235699055064457,-0.16477954294336153
24,0.07656365633010864,-0.951744019985199,-0.5334455370903015,-1.1723887920379639,0.28707963228225714,-0.25450819730758667,-0.6500215530395508,0.4,-0.44,-0.1,0.3988344615834348,-0.48970297743086416,-0.1903195074180558,0.015134330888579087,0.0012915655997899345,0.016729575433165667,0.05110451633749191,0.002130465361174505,0.041854648461684935,0.014661497163701798,0.1030987772261811,0.733162969352577,0.15134330888579084,0.012915655997899234,-0.16729575433165683,-0.5110451633749185,0.02130465361174512,0.41854648461684935,-0.14661497163701764
25,0.08056287467479706,-0.9483351707458496,-0.53537917137146,-1.1876804828643799,0.2851971387863159,-0.2504314184188843,-0.6499415040016175,0.4,-0.425,-0.1,0.39877909447035825,-0.4852765200334224,-0.18845167053091494,0.015513227197699042,0.0035249898635847376,0.01582742275280602,0.05508094126175589,0.00045783751700650965,0.045438281944307685,0.014455948662713047,0.10704413808033306,1.1011093521893258,0.15513227197699048,0.03524989863584699,-0.15827422752806036,-0.55080941261756,0.004578375170064826,0.4543828194430768,-0.14455948662712997
26,0.09169799089431763,-0.950452446937561,-0.550175130367279,-1.2234933376312256,0.28921011090278625,-0.21265354752540588,-0.6646830439567567,0.4,-0.41000000000000003,-0.1,0.39859423125430643,-0.48165872220547956,-0.1812817874346817,0.013070582967485977,0.005539700580266316,0.011998655886866438,0.055028565643377325,0.0012585194334898686,0.04508728859227329,0.012870022538503556,0.10836825006645275,0.664616419146455,0.13070582967485977,0.055397005802663546,-0.11998655886866405,-0.550285656433773,-0.012585194334898644,0.450872885922733,-0.1287002253850359
27,0.096076101064682,-0.944810152053833,-0.5512065887451172,-1.2427613735198975,0.2856549620628357,-0.2049931436777115,-0.6643974781036377,0.4,-0.395,-0.1,0.39846292847883724,-0.47617981386532293,-0.179601764279275,0.012825105209873844,0.0073172034394836105,0.01043599380711846,0.058105502309736545,0.0028191694700758774,0.048202405646351226,0.012530794676430812,0.11370560955574224,0.9919885513552344,0.12825105209873844,0.07317203439483594,-0.1043599380711841,-0.5810550230973649,-0.02819169470075866,0.4820240564635123,-0.12530794676430856
28,0.10890120267868043,-0.9374929666519166,-0.5621737837791443,-1.2785218954086304,0.28795158863067627,-0.16756625473499298,-0.6775530576705933,0.4,-0.38,-0.1,0.39735608534226896,-0.47049261745248466,-0.17677662352755263,0.010005542026641945,0.008231960680048167,0.006299194224578586,0.05804094514172142,0.004690113874116553,0.04794974564537714,0.011052329984941989,0.11870363944888397,0.21881796130924158,0.10005542026641939,0.08231960680048123,-0.06299194224578536,-0.5804094514172147,-0.046901138741165666,0.4794974564537714,-0.11052329984941944
29,0.10890120267868043,-0.9374929666519166,-0.561642587184906,-1.3008668422698977,0.28283578157424927,-0.15679073333740234,-0.6769282817840577,0.4,-0.365,-0.1,0.3981446181173733,-0.46502048980270355,-0.17162360599466314,0.009659865688234862,0.01017969569911803,0.004212341299559275,0.06016085024432671,0.006179793373881193,0.05063174792422681,0.010613794665070286,0.1230344738598977,0.8915486664241712,0.09659865688234859,0.10179695699117994,-0.04212341299559297,-0.6016085024432672,-0.061797933738812136,0.5063174792422681,-0.10613794665070285
30,0.11890674382448196,-0.9292610287666321,-0.5684729814529419,-1.3365628719329834,0.2832614779472351,-0.11961650848388672,-0.6886053681373596,0.4,-0.35,-0.1,0.3972040498870283,-0.4584327630521578,-0.16903203186507498,0.00692572647869491,0.010697980266576423,7.716843555760633e-05,0.05982921689848508,0.00815518157813555,0.050417929568398315,0.009179696625801315,0.12857255875022616,0.19908336547081262,0.06925726478694916,0.10697980266576373,0.0007716843555757302,-0.5982921689848498,-0.0815518157813555,0.5041792956839831,-0.0917969662580133
31,0.11856106668710709,-0.9273132681846619,-0.5658549070358276,-1.361027717590332,0.27665600180625916,-0.10615898668766022,-0.6875420808792115,0.4,-0.33499999999999996,-0.1,0.39783048296101864,-0.45199325707880456,-0.16442191223739588,0.006181840659830823,0.01216667858792575,0.0026581249028478915,0.061265888701801385,0.009683344770825109,0.052761251757382346,0.008581672084315928,0.1335751166288558,0.80006557269013,0.06181840659830823,0.12166678587925703,0.026581249028479192,-0.6126588870180134,-0.09683344770825084,0.5276125175738234,-0.08581672084315925
32,0.1258324682712555,-0.9185630679130554,-0.5683957934379579,-1.3963921070098877,0.2751063108444214,-0.06919857859611511,-0.6977850794792175,0.4,-0.32,-0.1,0.3970328902592038,-0.4445873440294432,-0.16203501112511765,0.003540806933557711,0.012334977213135367,0.007033981460073613,0.06065072159820972,0.011761181712379498,0.052590107664379694,0.007097126991308822,0.13920902498695348,0.19402412873154162,0.03540806933557705,0.12334977213135317,0.07033981460073602,-0.6065072159820968,-0.11761181712379497,0.5259010766437969,-0.07097126991308825
