Iteration,q_l_0,q_l_1,q_l_2,q_l_3,q_l_4,q_l_5,q_l_6,translation_goal_l_0,translation_goal_l_1,translation_goal_l_2,translation_l_0,translation_l_1,translation_l_2,ecart_q_l_0,ecart_q_l_1,ecart_q_l_2,ecart_q_l_3,ecart_q_l_4,ecart_q_l_5,ecart_q_l_6,Ecart_pos_l,Ecart_rot_l,velocity_l_0,velocity_l_1,velocity_l_2,velocity_l_3,velocity_l_4,velocity_l_5,velocity_l_6
10,-0.06578133255243301,0.8997584581375122,0.37500241398811346,-0.8614946007728577,-0.25050750374794006,-0.48043289780616766,0.5334324240684509,0.4,0.5,-0.19999999999999998,0.39974788955549945,0.4996358526790445,-0.27272600816841097,0.01997680929649888,0.004969330110199621,0.018303205787536747,0.03821256536274287,0.0016849687978412464,0.026536629658800936,0.013816611273498758,0.07272735679962092,0.157935613667064,0.19976809296498874,0.0496933011019961,0.18303205787536755,-0.38212565362742823,-0.01684968797841238,0.2653662965880092,0.13816611273498713
11,-0.056366235017776496,0.9020265936851501,0.38101547956466675,-0.8746370673179626,-0.25050750374794006,-0.48043289780616766,0.5334324240684509,0.4,0.5,-0.18999999999999997,0.39925423423441037,0.49929281607326964,-0.26902259522439087,0.021184668298192107,0.005322682539973478,0.02002663117718395,0.04106112104278592,0.002089559055926671,0.0295298178553578,0.015307857789967572,0.07902927831937527,0.6547564037057327,0.21184668298192108,0.05322682539973489,0.20026631177183965,-0.41061121042785914,-0.020895590559266652,0.29529817855357776,0.1530785778996753
12,-0.045804522931575775,0.9047278165817261,0.39330562949180603,-0.8997071385383606,-0.2521924674510956,-0.45389625430107117,0.5472490191459656,0.4,0.5,-0.17999999999999997,0.3996919486682069,0.4995236720190655,-0.26337027788938067,0.020937256193037025,0.005976864262202453,0.02015397386788853,0.04113469197263153,0.002796814350616017,0.029233070936190986,0.015256236861965422,0.08337220771528724,0.15378822035705753,0.20937256193037024,0.05976864262202486,0.20153973867888503,-0.4113469197263157,-0.027968143506159948,0.2923307093619101,0.15256236861965428
13,-0.03518156707286835,0.9073492884635926,0.401042103767395,-0.9156981706619263,-0.25259706377983093,-0.4509030878543854,0.5487402677536011,0.4,0.5,-0.16999999999999996,0.39921017815832327,0.4991708188350976,-0.2590296992045912,0.021621471865857934,0.006351090919364588,0.02154780950465418,0.04316712842902248,0.0033456250487509664,0.03170897589004451,0.016500821536286625,0.08903706363310623,0.603279714315363,0.21621471865857933,0.06351090919364644,0.21547809504654186,-0.4316712842902242,-0.03345625048750986,0.3170897589004454,0.16500821536286622
14,-0.024867266416549683,0.9107046723365784,0.4134595990180969,-0.9408418536186219,-0.25259706377983093,-0.4509030878543854,0.5487402677536011,0.4,0.5,-0.16000000000000006,0.3994695888345271,0.4982260173208548,-0.25084234375490416,0.02186720197680411,0.006544797816993131,0.022515164064325632,0.043773617846765256,0.004177113362151541,0.03435097000715598,0.017590229853017836,0.09086121157806851,1.7065637774354059,0.21867201976804107,0.06544797816993086,0.22515164064325627,-0.43773617846765217,-0.04177113362151527,0.34350970007156,0.17590229853017858
15,-0.013560094870626928,0.9137004017829895,0.4225899279117584,-0.9588652849197388,-0.255942702293396,-0.4191941022872925,0.5652410984039307,0.4,0.5,-0.15000000000000005,0.3991585272565607,0.49903195955791985,-0.24803985513505714,0.0213353923953208,0.00740136401780922,0.022705485208070253,0.04418369891248686,0.004811405526621904,0.0333234394464606,0.01745284605577091,0.09804824513257968,0.5593974687886885,0.21335392395320799,0.07401364017809253,0.22705485208070264,-0.44183698912486863,-0.0481140552662189,0.33323439446460595,0.1745284605577088
16,-0.003000064520165324,0.9172494411468506,0.43597477674484253,-0.9846154451370239,-0.2567741870880127,-0.4165521264076233,0.5663304924964905,0.4,0.5,-0.14000000000000004,0.3992951830771614,0.4981294914635359,-0.23967300448287635,0.021205722243036063,0.007631404018903054,0.023446392264190763,0.04432117589822249,0.005728231521070104,0.03554904410072035,0.018393173128776086,0.09969304585437835,1.5503113117771932,0.21205722243036063,0.07631404018903021,0.23446392264190763,-0.4432117589822241,-0.05728231521070107,0.35549044100720373,0.183931731287761
17,0.00777529738843441,0.9211017489433289,0.4452954232692719,-1.0030490159988403,-0.2607541084289551,-0.38587066531181335,0.5826939344406128,0.4,0.5,-0.13000000000000003,0.3991007495127229,0.49888193002101183,-0.23615774983372717,0.020457050841278458,0.008473512699099017,0.023572453658564863,0.044325120258267736,0.006446330892962149,0.0344801119723262,0.018238016113002575,0.10616744596003512,0.5221739354543615,0.20457050841278457,0.0847351269909905,0.23572453658564863,-0.44325120258267636,-0.0644633089296213,0.34480111972326216,0.18238016113002548
18,0.018205657601356506,0.924880862236023,0.45942115783691406,-1.0289366245269775,-0.26250243186950684,-0.38100308179855347,0.5847236514091493,0.4,0.5,-0.12000000000000002,0.3991295757415876,0.498020124563478,-0.22763165719433995,0.020009412531910964,0.00874437760565816,0.024114560554092668,0.044082716795162735,0.007429506336458114,0.03635137006669298,0.01907129123730089,0.10765338441281667,1.4110729845071432,0.20009412531910964,0.08744377605658171,0.24114560554092662,-0.44082716795162735,-0.0742950633645813,0.36351370066692973,0.1907129123730086
19,0.028232349082827568,0.9295752644538879,0.45942115783691406,-1.0289366245269775,-0.26250243186950684,-0.38100308179855347,0.5847236514091493,0.4,0.5,-0.11000000000000001,0.3978440285304329,0.4988050747375241,-0.2276955442177324,0.02118818089472794,0.009113267422950377,0.026391039157450114,0.047802509411957406,0.007871138706550818,0.0390061804733684,0.02081066412239252,0.11772135400201905,1.4382765192280544,0.21188180894727937,0.09113267422950355,0.2639103915745012,-0.47802509411957506,-0.07871138706550843,0.39006180473368385,0.20810664122392514
