Iteration,q_l_0,q_l_1,q_l_2,q_l_3,q_l_4,q_l_5,q_l_6,translation_goal_l_0,translation_goal_l_1,translation_goal_l_2,translation_l_0,translation_l_1,translation_l_2,ecart_q_l_0,ecart_q_l_1,ecart_q_l_2,ecart_q_l_3,ecart_q_l_4,ecart_q_l_5,ecart_q_l_6,Ecart_pos_l,Ecart_rot_l,velocity_l_0,velocity_l_1,velocity_l_2,velocity_l_3,velocity_l_4,velocity_l_5,velocity_l_6,Iteration,q_r_0,q_r_1,q_r_2,q_r_3,q_r_4,q_r_5,q_r_6,translation_goal_r_0,translation_goal_r_1,translation_goal_r_2,translation_r_0,translation_r_1,translation_r_2,ecart_q_r_0,ecart_q_r_1,ecart_q_r_2,ecart_q_r_3,ecart_q_r_4,ecart_q_r_5,ecart_q_r_6,Ecart_pos_r,Ecart_rot_r,velocity_r_0,velocity_r_1,velocity_r_2,velocity_r_3,velocity_r_4,velocity_r_5,velocity_r_6
10,-0.065781332552433,0.8997584581375122,0.3750024139881134,-0.8614946007728577,-0.25050750374794,-0.4804328978061676,0.5334324240684509,0.4,0.5,-0.1999999999999999,0.3997478895554994,0.4996358526790445,-0.2727260081684109,0.0199768092964988,0.0049693301101996,0.0183032057875367,0.0382125653627428,0.0016849687978412,0.0265366296588009,0.0138166112734987,0.0727273567996209,0.157935613667064,0.1997680929649887,0.0496933011019961,0.1830320578753675,-0.3821256536274282,-0.0168496879784123,0.2653662965880092,0.1381661127349871,10,-0.0588329844176769,-0.9013379216194152,-0.3733551502227783,-0.8583503961563111,0.2501673996448517,-0.4803473949432373,-0.5338791608810425,0.4,-0.5,-0.1999999999999999,0.3982015470561757,-0.5002644779447584,-0.2751626056639977,0.0196278488124328,0.0048970754460522,0.0185358734849329,0.0387294155643436,0.0015433104093747,0.026517531591761,0.0140141356969379,0.075184584003478,0.4485795751048776,0.196278488124328,-0.048970754460522,-0.1853587348493292,-0.3872941556434356,0.015433104093748,0.2651753159176107,-0.1401413569693798
11,-0.0563662350177764,0.90202659368515,0.3810154795646667,-0.8746370673179626,-0.25050750374794,-0.4804328978061676,0.5334324240684509,0.4,0.5,-0.1899999999999999,0.3992542342344103,0.4992928160732696,-0.2690225952243908,0.0211846682981921,0.0053226825399734,0.0200266311771839,0.0410611210427859,0.0020895590559266,0.0295298178553578,0.0153078577899675,0.0790292783193752,0.6547564037057327,0.211846682981921,0.0532268253997348,0.2002663117718396,-0.4106112104278591,-0.0208955905592666,0.2952981785535777,0.1530785778996753,11,-0.0571402199566364,-0.90197092294693,-0.3826023042201996,-0.8778885602951051,0.2510006725788116,-0.4669037163257599,-0.540719747543335,0.4,-0.5,-0.1899999999999999,0.3997450339211223,-0.4996942401105902,-0.2687747977491319,0.0207474441444731,0.0055207685597453,0.0193729775154565,0.0401412566410498,0.0021746055020132,0.0279296212120639,0.0145900572503083,0.0787758037548839,0.034106947521991,0.2074744414447317,-0.0552076855974532,-0.1937297751545658,-0.4014125664104984,0.0217460550201318,0.2792962121206394,-0.1459005725030834
12,-0.0458045229315757,0.904727816581726,0.393305629491806,-0.8997071385383606,-0.2521924674510956,-0.4538962543010711,0.5472490191459656,0.4,0.5,-0.1799999999999999,0.3996919486682069,0.4995236720190655,-0.2633702778893806,0.020937256193037,0.0059768642622024,0.0201539738678885,0.0411346919726315,0.002796814350616,0.0292330709361909,0.0152562368619654,0.0833722077152872,0.1537882203570575,0.2093725619303702,0.0597686426220248,0.201539738678885,-0.4113469197263157,-0.0279681435061599,0.2923307093619101,0.1525623686196542,12,-0.0363927744328975,-0.907491683959961,-0.3918910324573517,-0.8970798254013062,0.2517107129096985,-0.4538298547267914,-0.5478932857513428,0.4,-0.5,-0.1799999999999999,0.3978786847258989,-0.5003908887811869,-0.265885009321176,0.0204469847220773,0.0058231211871834,0.0204135937504434,0.0415914032583667,0.002634439597307,0.029170315811173,0.0154936477178099,0.0859120922724495,0.5683768708245946,0.204469847220773,-0.0582312118718338,-0.2041359375044348,-0.4159140325836678,0.0263443959730707,0.2917031581117306,-0.1549364771780987
13,-0.0351815670728683,0.9073492884635926,0.401042103767395,-0.9156981706619264,-0.2525970637798309,-0.4509030878543854,0.5487402677536011,0.4,0.5,-0.1699999999999999,0.3992101781583232,0.4991708188350976,-0.2590296992045912,0.0216214718658579,0.0063510909193645,0.0215478095046541,0.0431671284290224,0.0033456250487509,0.0317089758900445,0.0165008215362866,0.0890370636331062,0.603279714315363,0.2162147186585793,0.0635109091936464,0.2154780950465418,-0.4316712842902242,-0.0334562504875098,0.3170897589004454,0.1650082153628662,13,-0.0363927744328975,-0.907491683959961,-0.4019752740859986,-0.9180298447608948,0.253175288438797,-0.4389740824699402,-0.5553098320960999,0.4,-0.5,-0.1699999999999999,0.3996908741973839,-0.4995635009685416,-0.2588122707486803,0.0212673576025702,0.0065359717754841,0.020993023377139,0.0423828569448181,0.0034122147823054,0.0302881735442234,0.0158677048082444,0.0888138813795637,0.0479656923423021,0.2126735760257027,-0.0653597177548415,-0.2099302337713907,-0.4238285694481815,0.0341221478230546,0.3028817354422348,-0.1586770480824439
14,-0.0248672664165496,0.9107046723365784,0.4134595990180969,-0.940841853618622,-0.2525970637798309,-0.4509030878543854,0.5487402677536011,0.4,0.5,-0.16,0.3994695888345271,0.4982260173208548,-0.2508423437549041,0.0218672019768041,0.0065447978169931,0.0225151640643256,0.0437736178467652,0.0041771133621515,0.0343509700071559,0.0175902298530178,0.0908612115780685,1.706563777435406,0.218672019768041,0.0654479781699308,0.2251516406432562,-0.4377361784676521,-0.0417711336215152,0.34350970007156,0.1759022985301785,14,-0.015945790335536,-0.9133148193359376,-0.4123046398162842,-0.9386712312698364,0.2543451488018036,-0.4246595501899719,-0.5633869171142578,0.4,-0.5,-0.16,0.3980403568396301,-0.5001535264860466,-0.2552123260639389,0.0206626133756742,0.006872782500492,0.0218255238979409,0.043228255127755,0.003995255922464,0.03121565640864,0.0166124410654996,0.0952326141938974,0.5212335571184631,0.2066261337567422,-0.0687278250049205,-0.218255238979409,-0.4322825512775504,0.039952559224641,0.3121565640864005,-0.1661244106549965
15,-0.0135600948706269,0.9137004017829896,0.4225899279117584,-0.9588652849197388,-0.255942702293396,-0.4191941022872925,0.5652410984039307,0.4,0.5,-0.15,0.3991585272565607,0.4990319595579198,-0.2480398551350571,0.0213353923953208,0.0074013640178092,0.0227054852080702,0.0441836989124868,0.0048114055266219,0.0333234394464606,0.0174528460557709,0.0980482451325796,0.5593974687886885,0.2133539239532079,0.0740136401780925,0.2270548520807026,-0.4418369891248686,-0.0481140552662189,0.3332343944646059,0.1745284605577088,15,-0.015125417150557,-0.9140276312828064,-0.4229682981967926,-0.9604126811027528,0.2565875053405761,-0.4086859226226806,-0.5711775422096252,0.4,-0.5,-0.15,0.3996294639592098,-0.4994168374789515,-0.2478488434970043,0.0210615842885927,0.0075703222045782,0.0222438114163003,0.0435263664835348,0.0048591264207547,0.032064728410604,0.0168944261898428,0.0978512828182886,0.0637553870080864,0.210615842885927,-0.0757032220457823,-0.2224381141630031,-0.4352636648353487,0.0485912642075475,0.3206472841060411,-0.1689442618984286
16,-0.0030000645201653,0.9172494411468506,0.4359747767448425,-0.984615445137024,-0.2567741870880127,-0.4165521264076233,0.5663304924964905,0.4,0.5,-0.14,0.3992951830771614,0.4981294914635359,-0.2396730044828763,0.021205722243036,0.007631404018903,0.0234463922641907,0.0443211758982224,0.0057282315210701,0.0355490441007203,0.018393173128776,0.0996930458543783,1.5503113117771932,0.2120572224303606,0.0763140401890302,0.2344639226419076,-0.4432117589822241,-0.057282315210701,0.3554904410072037,0.183931731287761,16,0.0059361672028899,-0.921597957611084,-0.4452120959758758,-1.0039390325546265,0.2583404183387756,-0.3934438824653625,-0.5799993872642518,0.4,-0.5,-0.14,0.3994804689041487,-0.4986209957965938,-0.235594803018749,0.0190511948291107,0.0076463441145011,0.0217375711165461,0.0406386051528047,0.0060459165863454,0.0324793650848,0.0169789557270022,0.095606160519843,1.052905644890302,0.1905119482911079,-0.0764634411450116,-0.2173757111654615,-0.4063860515280481,0.0604591658634542,0.3247936508480005,-0.1697895572700227
17,0.0077752973884344,0.9211017489433287,0.4452954232692719,-1.0030490159988403,-0.2607541084289551,-0.3858706653118133,0.5826939344406128,0.4,0.5,-0.13,0.3991007495127229,0.4988819300210118,-0.2361577498337271,0.0204570508412784,0.008473512699099,0.0235724536585648,0.0443251202582677,0.0064463308929621,0.0344801119723262,0.0182380161130025,0.1061674459600351,0.5221739354543615,0.2045705084127845,0.0847351269909905,0.2357245365856486,-0.4432512025826763,-0.0644633089296213,0.3448011197232621,0.1823801611300254,17,0.0059361672028899,-0.921597957611084,-0.4452120959758758,-1.0039390325546265,0.2614466249942779,-0.3766211867332458,-0.5880719423294067,0.4,-0.5,-0.13,0.3995616525333806,-0.4992593033708669,-0.235989584102593,0.0202555365741583,0.0086246066775207,0.0231944645091728,0.0437811122150608,0.0064769903474218,0.0333656540731012,0.0177437678216692,0.1059930786336473,0.0810508835421615,0.2025553657415839,-0.0862460667752076,-0.2319446450917288,-0.4378111221506082,0.0647699034742182,0.333656540731012,-0.1774376782166915
18,0.0182056576013565,0.924880862236023,0.459421157836914,-1.0289366245269775,-0.2625024318695068,-0.3810030817985534,0.5847236514091493,0.4,0.5,-0.12,0.3991295757415876,0.498020124563478,-0.2276316571943399,0.0200094125319109,0.0087443776056581,0.0241145605540926,0.0440827167951627,0.0074295063364581,0.0363513700666929,0.0190712912373008,0.1076533844128166,1.4110729845071432,0.2000941253191096,0.0874437760565817,0.2411456055409266,-0.4408271679516273,-0.0742950633645813,0.3635137006669297,0.1907129123730086,18,0.0249873623251914,-0.9292442798614502,-0.4669496715068817,-1.0445775985717771,0.2643863260746002,-0.3609645068645477,-0.5969783663749695,0.4,-0.5,-0.12,0.3993481017313082,-0.4985074592256768,-0.2239758688842236,0.0182340222965258,0.0087479925036455,0.0226797495060113,0.0409798028209609,0.0076597367466222,0.0336767856642221,0.017854422136339,0.1039886241833451,0.9618981376628426,0.1823402229652582,-0.0874799250364555,-0.2267974950601132,-0.4097980282096102,0.0765973674662221,0.3367678566422208,-0.1785442213633906
19,0.0282323490828275,0.929575264453888,0.459421157836914,-1.0289366245269775,-0.2625024318695068,-0.3810030817985534,0.5847236514091493,0.4,0.5,-0.11,0.3978440285304329,0.4988050747375241,-0.2276955442177324,0.0211881808947279,0.0091132674229503,0.0263910391574501,0.0478025094119574,0.0078711387065508,0.0390061804733684,0.0208106641223925,0.117721354002019,1.4382765192280544,0.2118818089472793,0.0911326742295035,0.2639103915745012,-0.478025094119575,-0.0787113870655084,0.3900618047336838,0.2081066412239251,19,0.0261917039752006,-0.9302225708961488,-0.4684065580368042,-1.047720193862915,0.2679236233234405,-0.3432555198669433,-0.6058157086372375,0.4,-0.5,-0.11,0.3994877088203414,-0.499096033102019,-0.2233278112149136,0.01894767541388,0.0097029489895111,0.0238851250285009,0.0433192659411985,0.0082298871840336,0.0342770601325037,0.0184783942780357,0.1133325742810446,0.0993954342601455,0.1894767541388007,-0.0970294898951117,-0.2388512502850098,-0.433192659411985,0.0822988718403364,0.3427706013250374,-0.1847839427803577
