Iteration,q_r_0,q_r_1,q_r_2,q_r_3,q_r_4,q_r_5,q_r_6,translation_goal_r_0,translation_goal_r_1,translation_goal_r_2,translation_r_0,translation_r_1,translation_r_2,ecart_q_r_0,ecart_q_r_1,ecart_q_r_2,ecart_q_r_3,ecart_q_r_4,ecart_q_r_5,ecart_q_r_6,Ecart_pos_r,Ecart_rot_r,velocity_r_0,velocity_r_1,velocity_r_2,velocity_r_3,velocity_r_4,velocity_r_5,velocity_r_6
10,-0.4124440550804138,-0.7639117240905762,-0.5978133678436279,-0.5081073045730591,-0.010837069712579252,-0.3157866299152374,-0.05550529062747955,0.4,-0.5,-0.30000000000000004,0.4011484324461831,-0.5574286909547601,-0.3160250911438944,0.040437787916340506,0.026497095328930853,0.016224362422247007,0.04604874741108056,0.06292253133442252,0.010498213535381995,0.013899946946472341,0.05963369004204681,32.5950967144952,4.043778791634052,-2.64970953289309,1.622436242224699,-4.6048747411080555,6.292253133442252,-1.0498213535381997,-1.389994694647234
11,-0.429533988237381,-0.8148207664489746,-0.5295319557189941,-0.46118929982185364,0.03548724204301834,-0.3562547564506531,-0.07256142050027847,0.4,-0.5,-0.30000000000000004,0.40618854652939096,-0.5546012584760956,-0.3181226893058743,0.039022010142939434,0.0038186423372644773,0.015686235129935167,0.042971431878834676,0.058374323601550704,0.009070606027986927,0.017186357554309917,0.057862141362008825,28.95006954626862,3.9022010142939414,-0.3818642337264447,1.5686235129935149,-4.297143187883467,5.83743236015507,-0.9070606027986909,-1.7186357554309923
12,-0.3720062673091889,-0.7904087901115417,-0.5815889835357666,-0.5541560649871826,0.05208546295762062,-0.32628485560417175,-0.06940523535013199,0.4,-0.5,-0.30000000000000004,0.4022225854309221,-0.55063359670244,-0.3136847710196666,0.033272965996572756,0.0034139816946044954,0.016199583711612564,0.035094769849433716,0.055966655009963145,0.0075865459146126635,0.01637073408472875,0.05249737097116198,28.357945840542765,3.3272965996572785,-0.34139816946045304,1.6199583711612584,-3.509476984943367,5.596665500996314,-0.7586545914612648,-1.6370734084728755
13,-0.39051198959350586,-0.8186393976211548,-0.5138457417488098,-0.5041607022285461,0.09386156499385834,-0.36532536149024963,-0.08974777907133102,0.4,-0.5,-0.30000000000000004,0.4069911051701406,-0.5473798815371055,-0.316182150311049,0.032782763767635115,0.00023378176452570898,0.011610655394304392,0.03772804886167469,0.04842144169144835,0.007855757802033791,0.016645806292141685,0.05055285070754663,25.13104915958508,3.2782763767635092,-0.02337817645257644,1.1610655394304386,-3.7728048861674677,4.8421441691448335,-0.7855757802033776,-1.6645806292141678
14,-0.3387333154678345,-0.7938227653503418,-0.565389394760132,-0.5892508625984192,0.10805211961269379,-0.33387139439582825,-0.08577597141265869,0.4,-0.5,-0.30000000000000004,0.40301171559005483,-0.5438706112901666,-0.3122701692684449,0.02689358599159286,0.001447077732378399,0.012393499972399136,0.029239445766444216,0.04630196985283175,0.006995521760836343,0.01551393848109972,0.04565367476605315,24.779484599974115,2.6893585991592865,-0.14470777323783537,1.239349997239915,-2.9239445766444185,4.630196985283176,-0.6995521760836333,-1.5513938481099723
15,-0.3577292263507843,-0.8188731670379639,-0.5022351145744324,-0.5418887734413147,0.14228300750255585,-0.3731811046600342,-0.10639358311891557,0.4,-0.5,-0.30000000000000004,0.4072535526518731,-0.5409454847871564,-0.31456752667162396,0.028032695069036384,2.735536551978779e-05,0.007958137616288885,0.03261016878703937,0.03987939638293414,0.006885866597485857,0.0154437463085286,0.0440608622686532,21.950814057413435,2.8032695069036357,0.0027355365519744963,0.7958137616288864,-3.2610168787039346,3.9879396382934145,-0.6885866597485838,-1.5443746308528603
16,-0.3118397295475006,-0.7952698469161988,-0.5529959201812744,-0.6184902787208557,0.15435409545898438,-0.34086692333221436,-0.10128991305828094,0.4,-0.5,-0.30000000000000004,0.40337505586601907,-0.5380178513755524,-0.3111735467262637,0.022076191141060353,0.0012086100021871937,0.009214642586055533,0.024086507119445932,0.03843396511139055,0.006453779220915001,0.01431532798760353,0.03976928678963623,21.80283749269037,2.2076191141060377,-0.12086100021872269,0.9214642586055583,-2.4086507119445955,3.843396511139056,-0.6453779220915022,-1.4315327987603523
17,-0.32969653606414795,-0.8188458085060121,-0.4942769706249237,-0.5744989514350891,0.18216240406036377,-0.38006696105003357,-0.12183733284473419,0.4,-0.5,-0.30000000000000004,0.40711470708281905,-0.5354159722823386,-0.3132037196934475,0.02389847342613438,4.704909656105816e-05,0.005246360394923266,0.027807341907899796,0.03301599097491992,0.006014587911864322,0.014159883075916369,0.03846099795014197,19.306221070669487,2.389847342613441,0.00470490965610782,0.5246360394923272,-2.780734190789979,3.3015990974919918,-0.6014587911864335,-1.415988307591638
18,-0.28976354002952576,-0.7964784502983093,-0.5437812805175781,-0.6425768136978149,0.1927880644798279,-0.34732070565223694,-0.11560524255037309,0.4,-0.5,-0.30000000000000004,0.40344681161570933,-0.5330631633709806,-0.3103042562670793,0.01813087347634551,0.0011065869436992504,0.006876271377052046,0.019682471173889438,0.03212707557777256,0.00593309631078659,0.013065582369155518,0.03480274385200085,19.31728199850572,1.8130873476345486,-0.11065869436992391,0.6876271377051999,-1.9682471173889413,3.2127075577772555,-0.5933096310786603,-1.3065582369155506
19,-0.3057980537414551,-0.8187987804412842,-0.4890305995941162,-0.6023063063621521,0.21517840027809146,-0.3860815465450287,-0.1359972208738327,0.4,-0.5,-0.30000000000000004,0.4067391607428443,-0.530716494234524,-0.3120498793285337,0.020233642261304308,7.567077429970759e-05,0.0033173037868513555,0.02351557571129337,0.02750264891764928,0.005247505716687473,0.012894767047697708,0.033676681805214485,17.09793773460299,2.0233642261304325,0.007567077429974605,0.331730378685137,-2.3515575711293333,2.750264891764928,-0.5247505716687472,-1.289476704769772
